repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
16,1,Mild shift,Target oracle (reference),0.835,0.4483484000863624,0.13333333333333333,0.12853187250799727,0.04048708289411562,0.3989819420720568,0.49,180,0.8434547908232118,0.8108108108108109,0.8090909090909091,0.096,0.002
16,2,Moderate shift,Pooled associative latent class model,0.786,0.32651043008055014,0.2850877192982456,0.14763222210453364,0.033437955795316325,0.44144688270998084,0.479,228,0.8118466898954704,0.7511737089201878,0.7357512953367875,0.172,0.011
16,2,Moderate shift,Target-calibrated associative latent model,0.81,0.38378381499220027,0.17543859649122806,0.13531145335563763,0.04357797565143696,0.4113748174213124,0.487,228,0.8466898954703833,0.7605633802816901,0.7409326424870466,0.172,0.011
16,2,Moderate shift,Frozen causal latent SCM,0.815,0.3962963891528356,0.19298245614035087,0.1347602192428531,0.030185062684337995,0.4128091258968941,0.502,228,0.8571428571428571,0.7582159624413145,0.7461139896373057,0.172,0.011
16,2,Moderate shift,Modular causal latent SCM,0.81,0.38378379341601143,0.16666666666666666,0.13449913521179824,0.03460983842793961,0.4137919897202946,0.485,228,0.8501742160278746,0.755868544600939,0.7409326424870466,0.172,0.011
16,2,Moderate shift,Target oracle (reference),0.815,0.3962963770739378,0.14912280701754385,0.13475566269843667,0.0355836840779893,0.42227399987612263,0.494,228,0.8519163763066202,0.7652582159624414,0.7512953367875648,0.172,0.011
16,3,Strong shift,Pooled associative latent class model,0.715,0.18408400756137824,0.39603960396039606,0.1809201826952492,0.05355325325876202,0.4752952441550375,0.52,303,0.7626666666666667,0.6864,0.6545454545454545,0.2796666666666667,0.023
16,3,Strong shift,Target-calibrated associative latent model,0.776,0.30400788659586214,0.15841584158415842,0.14941914018186284,0.023603907655336157,0.4456744339760023,0.477,303,0.84,0.7376,0.7181818181818181,0.2796666666666667,0.023
16,3,Strong shift,Frozen causal latent SCM,0.762,0.27384912386268495,0.31683168316831684,0.15675403868067445,0.03827362595026451,0.4476489611200029,0.543,303,0.8266666666666667,0.7232,0.7121212121212122,0.2796666666666667,0.023
16,3,Strong shift,Modular causal latent SCM,0.769,0.28873198293441077,0.1617161716171617,0.1509539254163749,0.049170349779734314,0.44759248268281593,0.456,303,0.84,0.7264,0.7090909090909091,0.2796666666666667,0.023
16,3,Strong shift,Target oracle (reference),0.774,0.2996037126463536,0.21122112211221122,0.14924952224638552,0.02363832534103758,0.4573353346912349,0.499,303,0.848,0.7296,0.7121212121212122,0.2796666666666667,0.023
17,0,No shift,Pooled associative latent class model,0.819,0.40645010630128897,0.3105590062111801,0.127143200384454,0.011501438702098401,0.3931565787714755,0.506,161,0.8264947245017585,0.7755102040816326,0.6511627906976745,0.050666666666666665,0.0
17,0,No shift,Target-calibrated associative latent model,0.831,0.43768452461966545,0.2236024844720497,0.12159145508833118,0.050334810394231606,0.391812158619258,0.546,161,0.8382180539273154,0.7891156462585034,0.7441860465116279,0.050666666666666665,0.0
17,0,No shift,Frozen causal latent SCM,0.839,0.45914298781003204,0.16149068322981366,0.11600394442234302,0.027584451588984905,0.39154815572712276,0.488,161,0.8440797186400938,0.8095238095238095,0.7441860465116279,0.050666666666666665,0.0
17,0,No shift,Modular causal latent SCM,0.841,0.46458824913573277,0.16149068322981366,0.11603810328352326,0.028451218266390386,0.3922621778799335,0.496,161,0.8464243845252052,0.8095238095238095,0.7441860465116279,0.050666666666666665,0.0
17,0,No shift,Target oracle (reference),0.841,0.46458869593683805,0.13664596273291926,0.11569955109300548,0.02362168254404971,0.3890111750219365,0.482,161,0.8452520515826495,0.8163265306122449,0.7674418604651163,0.050666666666666665,0.0
17,1,Mild shift,Pooled associative latent class model,0.8,0.3593603851931064,0.3761904761904762,0.13678680087038844,0.0334232145220395,0.39929183613094404,0.529,210,0.8163538873994638,0.7519685039370079,0.7282608695652174,0.09,0.0
17,1,Mild shift,Target-calibrated associative latent model,0.818,0.4039040328692095,0.2904761904761905,0.1257095801549364,0.05397749484082462,0.4009474355072841,0.553,210,0.839142091152815,0.7559055118110236,0.7065217391304348,0.09,0.0
17,1,Mild shift,Frozen causal latent SCM,0.829,0.4323960672910936,0.21904761904761905,0.12156562728210843,0.028906942704820648,0.401160475180198,0.506,210,0.8565683646112601,0.7480314960629921,0.6956521739130435,0.09,0.0
17,1,Mild shift,Modular causal latent SCM,0.831,0.43768132516974534,0.18095238095238095,0.12053860236582303,0.03108548491694304,0.4024665399764248,0.496,210,0.8512064343163539,0.7716535433070866,0.7391304347826086,0.09,0.0
17,1,Mild shift,Target oracle (reference),0.834,0.44566995653462427,0.14761904761904762,0.11969316523303666,0.018639517910937105,0.39931242104697984,0.479,210,0.8512064343163539,0.7834645669291339,0.7717391304347826,0.09,0.0
17,2,Moderate shift,Pooled associative latent class model,0.78,0.3129169172015688,0.3962962962962963,0.14864625870530257,0.0531360893828765,0.4218941617103855,0.549,270,0.8071065989847716,0.7408312958435208,0.6813186813186813,0.16466666666666666,0.003
17,2,Moderate shift,Target-calibrated associative latent model,0.81,0.3837877089558229,0.2851851851851852,0.13214042892826064,0.05480909259275862,0.4201354949133829,0.551,270,0.8358714043993232,0.7726161369193154,0.7307692307692307,0.16466666666666666,0.003
17,2,Moderate shift,Frozen causal latent SCM,0.81,0.3837856520450229,0.2740740740740741,0.13049341079441745,0.042830458876919365,0.4223262603791411,0.537,270,0.8426395939086294,0.7628361858190709,0.7142857142857143,0.16466666666666666,0.003
17,2,Moderate shift,Modular causal latent SCM,0.827,0.42714277994973354,0.16666666666666666,0.1260578021141201,0.03240738913364869,0.42198325383116636,0.496,270,0.856175972927242,0.784841075794621,0.7472527472527473,0.16466666666666666,0.003
17,2,Moderate shift,Target oracle (reference),0.826,0.4245287015987533,0.15185185185185185,0.1252070984405737,0.023042027619395566,0.41917996260688856,0.481,270,0.8527918781725888,0.7872860635696821,0.7472527472527473,0.16466666666666666,0.003
17,3,Strong shift,Pooled associative latent class model,0.721,0.19457729514466005,0.5117056856187291,0.181215334129783,0.09457383124821293,0.42524284599575163,0.594,299,0.7788944723618091,0.6827242524916943,0.6482758620689655,0.25966666666666666,0.016
