shift_index,shift,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0,No shift,Pooled associative latent class model,accuracy,0.802342,0.8011863816662006,0.8034976183337994,0.0005881819344182,500
0,No shift,Pooled associative latent class model,adjusted_rand_index,0.3656984633452805,0.3629141314251311,0.3684827952654299,0.0014171579724522,500
0,No shift,Pooled associative latent class model,false_atrial_renal_competing,0.3094053599073783,0.3041859268244878,0.3146247929902687,0.0026565658898534,500
0,No shift,Pooled associative latent class model,brier_score,0.1372560655414951,0.1366503631870646,0.1378617678959255,0.0003082879287136,500
0,No shift,Pooled associative latent class model,expected_calibration_error,0.0376676473419513,0.0364432906741902,0.0388920040097123,0.0006231680929583,500
0,No shift,Pooled associative latent class model,mean_posterior_entropy,0.4177266396893023,0.4163576392004308,0.4190956401781738,0.0006967883186107,500
0,No shift,Pooled associative latent class model,predicted_atrial_prevalence,0.4985199999999999,0.4951824118094579,0.501857588190542,0.0016987521059397,500
0,No shift,Pooled associative latent class model,accuracy_complete_case,0.8105934270281091,0.8093708550588182,0.8118159989974,0.0006222597243665,500
0,No shift,Pooled associative latent class model,accuracy_any_missing,0.7576726085362097,0.754589969410504,0.7607552476619153,0.0015689891645362,500
0,No shift,Pooled associative latent class model,accuracy_electrical_missing,0.7546721632664328,0.7493217865149874,0.7600225400178783,0.0027232130674015,500
0,No shift,Pooled associative latent class model,biomarker_missing_fraction,0.0548186666666666,0.0544328195420756,0.0552045137912576,0.0001963869051691,500
0,No shift,Pooled associative latent class model,all_biomarkers_missing_rate,0.000204,0.0001648252899754,0.0002431747100245,1.9938985085818812e-05,500
0,No shift,Target-calibrated associative latent model,accuracy,0.81222,0.8110738505216166,0.8133661494783835,0.0005833625147772,500
0,No shift,Target-calibrated associative latent model,adjusted_rand_index,0.3899938775887041,0.3871455661907959,0.3928421889866123,0.0014497219876556,500
0,No shift,Target-calibrated associative latent model,false_atrial_renal_competing,0.186484335696727,0.179617893231065,0.193350778162389,0.0034948540481751,500
0,No shift,Target-calibrated associative latent model,brier_score,0.130932355247705,0.1302770029111021,0.1315877075843079,0.0003335585753483,500
0,No shift,Target-calibrated associative latent model,expected_calibration_error,0.0406287881057242,0.0392325618666179,0.0420250143448306,0.0007106455705864,500
0,No shift,Target-calibrated associative latent model,mean_posterior_entropy,0.3909814622151349,0.3896778295809244,0.3922850948493454,0.0006635176529604,500
0,No shift,Target-calibrated associative latent model,predicted_atrial_prevalence,0.500474,0.4966906377710957,0.5042573622289043,0.0019256403687239,500
0,No shift,Target-calibrated associative latent model,accuracy_complete_case,0.8205669183182143,0.8193408489619352,0.8217929876744934,0.0006240398102166,500
0,No shift,Target-calibrated associative latent model,accuracy_any_missing,0.7670112004542136,0.7639854674468328,0.7700369334615943,0.0015400253191406,500
