shift_index,shift,metric,contrast,mean_difference,ci95_low,ci95_high,repeat_count
2,Moderate shift,expected_calibration_error,modular causal minus comparator: Target-calibrated associative latent model,-0.0074772846617354,-0.0088407998589746,-0.0061137694644961,500
2,Moderate shift,accuracy_any_missing,modular causal minus comparator: Target-calibrated associative latent model,0.002902186655065,0.0020633394641056,0.0037410338460243,500
2,Moderate shift,accuracy,modular causal minus comparator: Frozen causal latent SCM,0.00413,0.0033835194063186,0.0048764805936813,500
2,Moderate shift,adjusted_rand_index,modular causal minus comparator: Frozen causal latent SCM,0.009660734470234,0.0079158492176736,0.0114056197227944,500
2,Moderate shift,false_atrial_renal_competing,modular causal minus comparator: Frozen causal latent SCM,-0.0935797697615329,-0.0973584694306855,-0.0898010700923803,500
2,Moderate shift,brier_score,modular causal minus comparator: Frozen causal latent SCM,-0.0028056972435379,-0.0031531978970111,-0.0024581965900647,500
2,Moderate shift,expected_calibration_error,modular causal minus comparator: Frozen causal latent SCM,-0.0070631060922138,-0.0088932270700733,-0.0052329851143543,500
2,Moderate shift,accuracy_any_missing,modular causal minus comparator: Frozen causal latent SCM,0.0035884257311223,0.0025877382230139,0.0045891132392306,500
3,Strong shift,accuracy,modular causal minus comparator: Pooled associative latent class model,0.042304,0.0410527738321006,0.0435552261678994,500
3,Strong shift,adjusted_rand_index,modular causal minus comparator: Pooled associative latent class model,0.0861715125143195,0.0836399521857524,0.0887030728428866,500
3,Strong shift,false_atrial_renal_competing,modular causal minus comparator: Pooled associative latent class model,-0.2220946901573423,-0.2274835537957639,-0.2167058265189207,500
3,Strong shift,brier_score,modular causal minus comparator: Pooled associative latent class model,-0.0261341180980321,-0.0268139005051701,-0.0254543356908941,500
3,Strong shift,expected_calibration_error,modular causal minus comparator: Pooled associative latent class model,-0.0296792060459691,-0.0318382171368868,-0.0275201949550514,500
3,Strong shift,accuracy_any_missing,modular causal minus comparator: Pooled associative latent class model,0.0401610112213893,0.0386964284107316,0.041625594032047,500
3,Strong shift,accuracy,modular causal minus comparator: Target-calibrated associative latent model,0.004654,0.003824462729542,0.005483537270458,500
