file,level,method,metric,value_v1,value_v2,absolute_difference,reported_v1,reported_v2,changes_at_reported_precision
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Associative latent class model,false_k2_rate,1.0,1.0,0.0,100.0,100.0,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Associative latent class model,k2_convergence_rate,1.0,1.0,0.0,100.0,100.0,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Associative latent class model,median_delta_bic_k2_minus_k1,-277.84380939947096,-277.8438093994705,4.547473508864641e-13,-277.84,-277.84,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Biologically constrained latent SCM,false_k2_rate,0.0,0.0,0.0,0.0,0.0,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Biologically constrained latent SCM,k2_convergence_rate,1.0,1.0,0.0,100.0,100.0,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Biologically constrained latent SCM,median_delta_bic_k2_minus_k1,27.29245454183092,27.292454541830462,4.583000645652646e-13,27.29,27.29,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Renal-adjusted associative latent class model,false_k2_rate,0.0,0.0,0.0,0.0,0.0,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Renal-adjusted associative latent class model,k2_convergence_rate,1.0,1.0,0.0,100.0,100.0,False
outputs_latent_endotyping/k1_null_summary.csv,overall,method=Renal-adjusted associative latent class model,median_delta_bic_k2_minus_k1,27.674427892323365,27.67442789232382,4.547473508864641e-13,27.67,27.67,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,accuracy,-0.0005499999999999,-0.0005499999999999,0.0,-0.05,-0.05,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,adjusted_rand_index,-0.0014409911508346,-0.0014409911508346,0.0,-0.001,-0.001,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,brier_score,0.0004547558545026,0.0004547558545026,0.0,0.0005,0.0005,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,expected_calibration_error,0.0004990862095517,0.0004990862095517,0.0,0.0005,0.0005,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,false_atrial_renal_competing,0.0003988035064427,0.0003988035064427,0.0,0.04,0.04,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,accuracy,0.0035699999999999,0.0035699999999999,0.0,0.36,0.36,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,adjusted_rand_index,0.0088525173685172,0.0088525173685172,0.0,0.009,0.009,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,brier_score,-0.0024315038366669,-0.0024315038366669,0.0,-0.0024,-0.0024,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,expected_calibration_error,-0.0015272557883135,-0.0015272557883135,0.0,-0.0015,-0.0015,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,false_atrial_renal_competing,-0.0093416090899721,-0.0093416090899721,0.0,-0.93,-0.93,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,accuracy,0.0128479999999999,0.0128479999999999,0.0,1.28,1.28,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,adjusted_rand_index,0.0319478023390445,0.0319478023390445,0.0,0.032,0.032,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,brier_score,-0.008975485577004,-0.008975485577004,0.0,-0.009,-0.009,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,expected_calibration_error,-0.0061022249721958,-0.0061022249721958,0.0,-0.0061,-0.0061,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,false_atrial_renal_competing,-0.1596070730062397,-0.1596070730062397,0.0,-15.96,-15.96,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,accuracy,0.0028439999999999,0.0028439999999999,0.0,0.28,0.28,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,adjusted_rand_index,0.0071167496379662,0.0071167496379662,0.0,0.007,0.007,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,brier_score,-0.0019638775609445,-0.0019638775609445,0.0,-0.002,-0.002,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,expected_calibration_error,-0.0006717529063619,-0.0006717529063619,0.0,-0.0007,-0.0007,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=0.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,false_atrial_renal_competing,-0.0027683039312118,-0.0027683039312118,0.0,-0.28,-0.28,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,accuracy,0.0866579999999999,0.0866579999999999,0.0,8.67,8.67,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,adjusted_rand_index,0.1897782908472724,0.1897782908472724,0.0,0.19,0.19,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,brier_score,-0.0634241892327812,-0.0634241892327811,9.71445146547012e-17,-0.0634,-0.0634,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,expected_calibration_error,-0.0774672152748024,-0.0774672152748025,1.1102230246251565e-16,-0.0775,-0.0775,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Associative latent class model,false_atrial_renal_competing,-0.4550758144382542,-0.4550758144382542,0.0,-45.51,-45.51,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,accuracy,0.0037059999999999,0.0037059999999999,0.0,0.37,0.37,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,adjusted_rand_index,0.0093202785104712,0.0093202785104712,0.0,0.009,0.009,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.0,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,brier_score,-0.0023645174185897,-0.0023645174185897,0.0,-0.0024,-0.0024,False
