renal_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Associative latent class model,accuracy,10,0.8238999999999999,0.018793911543665148,0.0059431566621712915,0.810455645586705,0.8373443544132947,0.7932750000000001,0.850975
0.0,Associative latent class model,adjusted_rand_index,10,0.42033600399179416,0.048482612932980826,0.01533154837845558,0.3856536320098267,0.4550183759737616,0.34363050876529583,0.49228238359762827
0.0,Associative latent class model,false_atrial_renal_competing,10,0.2042249922505297,0.06927778744203601,0.021907559957384398,0.15466664857227697,0.25378333592878244,0.12221478559015546,0.32922374429223744
0.0,Associative latent class model,brier_score,10,0.12466830469152368,0.010441659074511922,0.0033019425226423482,0.11719879176259576,0.1321378176204516,0.10906943561090061,0.14130943813374452
0.0,Associative latent class model,expected_calibration_error,10,0.04736763430405185,0.016730601381383155,0.005290680698953018,0.035399283064541355,0.05933598554356235,0.027081628955635817,0.07843503525736317
0.0,Associative latent class model,mean_posterior_entropy,10,0.37130061829186023,0.021632213455592537,0.0068407065350614095,0.35582586500458824,0.3867753715791322,0.3384173139839871,0.40377364245595804
0.0,Associative latent class model,predicted_atrial_prevalence,10,0.5143,0.03415991803268856,0.0108023145667954,0.4898634667273206,0.5387365332726793,0.47659999999999997,0.573825
0.0,Renal-adjusted associative latent class model,accuracy,10,0.8188000000000001,0.0211176598030074,0.0066779903830086074,0.8036933362216063,0.8339066637783938,0.789825,0.85465
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,10,0.4075472267112395,0.05482683277390711,0.017337766845871398,0.3683264732529572,0.4467679801695218,0.3355316900119848,0.5026341533996405
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,10,0.24485273098439447,0.09875782724765877,0.03122996708720394,0.1742056372423783,0.31549982472641064,0.1415546218487395,0.4424118331543144
0.0,Renal-adjusted associative latent class model,brier_score,10,0.12762043765653125,0.012033401002704459,0.0038052955166700086,0.1190122611467196,0.1362286141663429,0.10994902762486632,0.1466328905591621
0.0,Renal-adjusted associative latent class model,expected_calibration_error,10,0.049209902583094454,0.018665707712825903,0.005902615051150196,0.03585725966556463,0.06256254550062429,0.03329594947937069,0.0812411602549701
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy,10,0.36669047037600383,0.02223807078338233,0.007032295444353307,0.35078231286525374,0.3825986278867539,0.3331778478115414,0.4014933789161018
0.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,10,0.5136,0.03751207213092281,0.011862358768624204,0.4867654801432116,0.5404345198567884,0.477475,0.588825
0.0,Biologically constrained latent SCM,accuracy,10,0.8234999999999999,0.018816364036538906,0.0059502567638342685,0.8100395840408712,0.8369604159591286,0.7956000000000001,0.851975
0.0,Biologically constrained latent SCM,adjusted_rand_index,10,0.41930357020373316,0.04882276861399884,0.015439115049561844,0.3843778655062383,0.454229274901228,0.3490449548310589,0.49509715872995774
0.0,Biologically constrained latent SCM,false_atrial_renal_competing,10,0.2076859224688264,0.07773945899862902,0.024583375450494025,0.15207446360635973,0.26329738133129305,0.1329477981197427,0.35866648029074644
0.0,Biologically constrained latent SCM,brier_score,10,0.12533976199861532,0.01037043161911593,0.0032794184235434096,0.1179212021218009,0.13275832187542974,0.10959016315656335,0.14130253200604947
0.0,Biologically constrained latent SCM,expected_calibration_error,10,0.04790866392778289,0.02057138153522303,0.0065052420267636074,0.03319278408084008,0.0626245437747257,0.02573229139741742,0.08581473947087641
0.0,Biologically constrained latent SCM,mean_posterior_entropy,10,0.37059906913434043,0.021917824056355544,0.006931024537291422,0.3549200023313891,0.38627813593729177,0.3367595702495107,0.40484434102187
0.0,Biologically constrained latent SCM,predicted_atrial_prevalence,10,0.5163,0.040612121890446023,0.012842680578619266,0.4872478381388292,0.5453521618611707,0.4778,0.593875
0.0,Data-generating oracle (reference),accuracy,10,0.8321999999999999,0.018510057326281353,0.005853394077133556,0.8189587026614045,0.8454412973385954,0.802925,0.86195
0.0,Data-generating oracle (reference),adjusted_rand_index,10,0.442102670261483,0.04930161918775449,0.015590540896756473,0.40683441649911556,0.4773709240238504,0.366538132905877,0.523781054437772
0.0,Data-generating oracle (reference),false_atrial_renal_competing,10,0.17219240218754867,0.026184364713012442,0.008280223157766047,0.1534612360611778,0.19092356831391952,0.13619732999582812,0.2186713726586525
0.0,Data-generating oracle (reference),brier_score,10,0.11992559340551756,0.009312923471890323,0.002945004984601651,0.11326352928495992,0.1265876575260752,0.10682836381487545,0.13625182768763489
0.0,Data-generating oracle (reference),expected_calibration_error,10,0.030875142771243515,0.007627589319810404,0.002412055530697536,0.025418694075274237,0.03633159146721279,0.020752037886405204,0.040879592807687534
0.0,Data-generating oracle (reference),mean_posterior_entropy,10,0.3797085447770847,0.005181039821575133,0.0016383886484209807,0.37600225216052036,0.38341483739364907,0.3727344124259995,0.38852276580645495
0.0,Data-generating oracle (reference),predicted_atrial_prevalence,10,0.49959999999999993,0.015514867421641461,0.004906231864793097,0.4885013324444352,0.5106986675555647,0.47822499999999996,0.5175500000000001
0.75,Associative latent class model,accuracy,10,0.7887000000000001,0.02313751163034704,0.00731672361405325,0.7721484212678458,0.8052515787321544,0.74815,0.818075
0.75,Associative latent class model,adjusted_rand_index,10,0.3346469133883939,0.05224888658955142,0.01652254868308097,0.29727031153635675,0.3720235152404311,0.24569547737512104,0.40420802316847204
0.75,Associative latent class model,false_atrial_renal_competing,10,0.5159770401619579,0.09400649755470486,0.029727464712791654,0.4487288429284238,0.583225237395492,0.3553374699252881,0.656613695329874
0.75,Associative latent class model,brier_score,10,0.1499201166378689,0.016797436955744423,0.005311815963323733,0.13790395410867337,0.1619362791670644,0.1311989015091002,0.1824212053220782
0.75,Associative latent class model,expected_calibration_error,10,0.06572368792279458,0.02624113073311299,0.008298174149488108,0.04695191383191934,0.08449546201366982,0.028605905004396862,0.10613010354129705
0.75,Associative latent class model,mean_posterior_entropy,10,0.35759958057143865,0.014727779088111853,0.004657332679423113,0.3470639620908872,0.3681351990519901,0.33128142866386195,0.3775072468717583
0.75,Associative latent class model,predicted_atrial_prevalence,10,0.5372999999999999,0.033575950387806516,0.010617647783028237,0.5132812120149606,0.5613187879850392,0.50335,0.6045750000000001
0.75,Renal-adjusted associative latent class model,accuracy,10,0.8168,0.009930872178324597,0.0031404175235503562,0.809695882004748,0.823904117995252,0.8021250000000001,0.830425
0.75,Renal-adjusted associative latent class model,adjusted_rand_index,10,0.4012003467011165,0.025136552651048066,0.007948875890205554,0.38321874016944973,0.41918195323278323,0.36451570321904403,0.43618880004128757
0.75,Renal-adjusted associative latent class model,false_atrial_renal_competing,10,0.22103870560335553,0.13351887259784623,0.04222237480270371,0.1255250580107089,0.31655235319600217,0.049983216970998924,0.45630891649107247
0.75,Renal-adjusted associative latent class model,brier_score,10,0.12867662376495811,0.008066098593696041,0.002550724338756057,0.12290648443157481,0.13444676309834142,0.1174723036334822,0.14003583021941113
0.75,Renal-adjusted associative latent class model,expected_calibration_error,10,0.05154238456726247,0.02652609371611286,0.008388287356999652,0.03256676023854723,0.0705180088959777,0.027147659435118314,0.1004784202120793
0.75,Renal-adjusted associative latent class model,mean_posterior_entropy,10,0.3626330198478067,0.0205830827369224,0.0065089422716367125,0.3479087694654199,0.37735727023019355,0.3345704650141243,0.39526616048896906
0.75,Renal-adjusted associative latent class model,predicted_atrial_prevalence,10,0.5356000000000001,0.05787572893709418,0.018301912468373354,0.4941981976157406,0.5770018023842596,0.43555,0.6310250000000001
0.75,Biologically constrained latent SCM,accuracy,10,0.8195,0.011098047876390961,0.0035095108870990257,0.8115609348086344,0.8274390651913656,0.8039000000000001,0.8372999999999999
0.75,Biologically constrained latent SCM,adjusted_rand_index,10,0.40816501493449897,0.028494079937908853,0.009010619243470117,0.38778157807113206,0.4285484517978659,0.3687383758808339,0.45463439551810175
0.75,Biologically constrained latent SCM,false_atrial_renal_competing,10,0.21902073109034004,0.0974144651693421,0.030805158698226122,0.14933462068829056,0.2887068414923895,0.07853786251342643,0.3828102992957747
0.75,Biologically constrained latent SCM,brier_score,10,0.1272794435872022,0.006413116811342811,0.002028005602455964,0.1226917761872982,0.13186711098710618,0.11838230150325962,0.13674516056251382
0.75,Biologically constrained latent SCM,expected_calibration_error,10,0.05127751135492718,0.028116143648015183,0.008891105294820349,0.031164433826559326,0.07139058888329504,0.025546863486470908,0.10932324431403026
0.75,Biologically constrained latent SCM,mean_posterior_entropy,10,0.3647331193765928,0.019715186224089732,0.006234489296249834,0.35062972475834403,0.3788365139948416,0.33569246280773213,0.3958990426005177
0.75,Biologically constrained latent SCM,predicted_atrial_prevalence,10,0.5389,0.061145454995990244,0.019335890635465095,0.4951591764988192,0.5826408235011808,0.436425,0.6403000000000001
0.75,Data-generating oracle (reference),accuracy,10,0.8305999999999999,0.00889694079757507,0.002813459712801228,0.8242355119582851,0.8369644880417146,0.8169,0.842325
0.75,Data-generating oracle (reference),adjusted_rand_index,10,0.43690676476796797,0.023504852168262293,0.007432886891725614,0.42009240644516654,0.4537211230907694,0.4011142097643601,0.4682204420668241
0.75,Data-generating oracle (reference),false_atrial_renal_competing,10,0.1692069190790077,0.013455734482513053,0.004255076855520836,0.15958126649179655,0.17883257166621885,0.14453228806803084,0.18752833452636603
0.75,Data-generating oracle (reference),brier_score,10,0.12102121918983078,0.0038027548962735547,0.0012025366855581783,0.11830089221300051,0.12374154616666104,0.11371244499786028,0.12477618559058028
0.75,Data-generating oracle (reference),expected_calibration_error,10,0.02853488214829473,0.00736044154471851,0.0023275759865838577,0.023269539458156862,0.033800224838432605,0.016626787973127097,0.037030955011774294
0.75,Data-generating oracle (reference),mean_posterior_entropy,10,0.384175499866155,0.00804438144441028,0.002543856773153166,0.3784208960454917,0.38993010368681835,0.3733003034054967,0.39455418700806505
0.75,Data-generating oracle (reference),predicted_atrial_prevalence,10,0.5068,0.012081206709412592,0.0038204130085051774,0.49815762534774904,0.515442374652251,0.490675,0.526325
1.5,Associative latent class model,accuracy,10,0.5814999999999999,0.07239590227814462,0.02289359444619098,0.5297110913400722,0.6332889086599276,0.485375,0.683775
1.5,Associative latent class model,adjusted_rand_index,10,0.0444949164759257,0.050322673315282083,0.015913426562486795,0.008496244592043511,0.08049358835980788,-0.0007926841894964403,0.13540437092779073
1.5,Associative latent class model,false_atrial_renal_competing,10,0.8288469815508911,0.2995998750045342,0.09474179917160773,0.6145261419331541,1.0431678211686282,0.1802980132450331,0.9985759493670886
1.5,Associative latent class model,brier_score,10,0.34745230027725305,0.08680353893202572,0.02744968919883011,0.28535678923800073,0.40954781131650536,0.24355218061516767,0.4848826646995705
1.5,Associative latent class model,expected_calibration_error,10,0.3455223039792579,0.1026051542229701,0.032446598701742956,0.2721229983158576,0.41892160964265823,0.20392971141462013,0.48700263223243834
1.5,Associative latent class model,mean_posterior_entropy,10,0.2109626246419365,0.07569257267347122,0.023936093160598956,0.15681542004794455,0.2651098292359284,0.07797683921663885,0.2870711067375035
1.5,Associative latent class model,predicted_atrial_prevalence,10,0.41719999999999996,0.12192237967931345,0.038555241753446004,0.32998198370187065,0.5044180162981293,0.3187,0.662425
1.5,Renal-adjusted associative latent class model,accuracy,10,0.8157,0.009855060741680969,0.0031164438423020146,0.808650114239504,0.822749885760496,0.8039000000000001,0.832975
1.5,Renal-adjusted associative latent class model,adjusted_rand_index,10,0.39841300461125984,0.025167923661765335,0.007958796274842366,0.3804089566104287,0.416417052612091,0.36879128737775374,0.44298852546810324
1.5,Renal-adjusted associative latent class model,false_atrial_renal_competing,10,0.21197406881072828,0.11323253346964762,0.035807271099533494,0.13097239401066002,0.29297574361079654,0.0770797137420369,0.42326369282891024
