repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
0,1.5,Renal-adjusted associative latent class model,True,14,0,-3614.143068612102,0.4797316639740282,2.108004573840152
0,1.5,Biologically constrained latent SCM,True,14,0,-3614.5407767429924,0.47919985708826407,2.1025215075105184
1,1.5,Associative latent class model,True,23,2,-4223.830499851121,0.4939471729683109,0.9726692467526219
1,1.5,Renal-adjusted associative latent class model,True,33,3,-3684.431457512988,0.45356013550640784,2.0905293215847998
1,1.5,Biologically constrained latent SCM,True,30,3,-3684.958168701953,0.4571860943255361,2.0819527108598823
2,1.5,Associative latent class model,True,23,2,-4176.20807463168,0.46636589891491903,0.5207608931259956
2,1.5,Renal-adjusted associative latent class model,True,28,1,-3634.500878368751,0.45410422622389635,1.6783666665287984
2,1.5,Biologically constrained latent SCM,True,14,3,-3635.898420061363,0.4918545134656183,1.7623439689492488
3,1.5,Associative latent class model,True,206,3,-4107.84164421357,0.2734797884686213,0.16769217888826293
3,1.5,Renal-adjusted associative latent class model,True,22,1,-3595.039369710287,0.48851246339465293,1.6035569659579265
3,1.5,Biologically constrained latent SCM,True,31,3,-3596.9582994201432,0.48524947076333463,1.5271030198600548
4,1.5,Associative latent class model,True,49,2,-4238.272671521968,0.3265836553072095,0.5404832170116248
4,1.5,Renal-adjusted associative latent class model,True,21,0,-3709.571039217639,0.4771349589818908,1.8056812234126687
4,1.5,Biologically constrained latent SCM,True,23,0,-3710.1854458967723,0.4704650057986069,1.7955666938884898
5,1.5,Associative latent class model,True,69,1,-4200.192486016692,0.39399682609942327,0.10452666851683501
5,1.5,Renal-adjusted associative latent class model,True,13,0,-3617.9803749863504,0.496326999470472,2.2593363741207924
5,1.5,Biologically constrained latent SCM,True,13,0,-3618.02643307271,0.4959835098494406,2.2581604446482744
6,1.5,Associative latent class model,True,89,2,-4237.204751690289,0.28478965050994387,0.21032615604504484
6,1.5,Renal-adjusted associative latent class model,True,44,0,-3699.459525159507,0.49597033572585636,1.8915674770419533
6,1.5,Biologically constrained latent SCM,True,18,3,-3700.0914547581724,0.4880942726326199,1.8527672188348485
7,1.5,Associative latent class model,True,236,0,-4132.589585936315,0.28383501272570355,0.14158804914066597
7,1.5,Renal-adjusted associative latent class model,True,23,0,-3600.3966252578984,0.4790818164988058,1.884685771950471
7,1.5,Biologically constrained latent SCM,True,26,3,-3601.796445849227,0.4802756098507942,1.875274664020123
8,1.5,Associative latent class model,True,13,3,-4201.6284488655765,0.43418496851390687,0.7985132912800945
8,1.5,Renal-adjusted associative latent class model,True,23,0,-3680.562522867811,0.47880447031909723,2.008597852703576
8,1.5,Biologically constrained latent SCM,True,18,0,-3681.9539251455762,0.4937033838607341,2.0044551317653956
9,1.5,Associative latent class model,True,40,2,-4238.887250806303,0.4032196210019919,0.7648428011575701
9,1.5,Renal-adjusted associative latent class model,True,24,0,-3695.162630628972,0.45234296626537884,1.7736210574805042
9,1.5,Biologically constrained latent SCM,True,46,2,-3696.8637379671654,0.4317592587740123,1.7402653851952805
0,2.25,Associative latent class model,True,49,0,-4226.962237768155,0.28058331902510686,0.025678669882206906
