renal_effect_sd,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0.3,Two-path latent SCM (counterfactual query),expected_calibration_error,causal SCM minus comparator,500,-0.07528839726932837,-0.07707152271274745,-0.0735052718259093
0.59,Associative latent class model,accuracy,causal SCM minus comparator,500,0.012764532019704433,0.011632775228074606,0.01389628881133426
0.59,Associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.03173378359809577,0.028934925869337675,0.034532641326853866
0.59,Associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.2286909717708951,-0.23737782857088824,-0.22000411497090194
0.59,Associative latent class model,brier_score,causal SCM minus comparator,500,-0.008587473532911847,-0.009280567709687586,-0.007894379356136107
0.59,Associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.006348448726053316,-0.008012501749368637,-0.004684395702737995
0.59,Renal-adjusted associative latent class model,accuracy,causal SCM minus comparator,500,0.0031448275862068966,0.002417251654446998,0.0038724035179667953
0.59,Renal-adjusted associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.007839511212025328,0.006020642917487494,0.009658379506563163
0.59,Renal-adjusted associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.038338534831492896,-0.04837096242179638,-0.028306107241189413
0.59,Renal-adjusted associative latent class model,brier_score,causal SCM minus comparator,500,-0.002158447865128048,-0.002613099995903651,-0.0017037957343524455
0.59,Renal-adjusted associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.001010182397897385,-0.0019967122177728886,-2.365257802188132e-05
0.59,Two-nuisance adjusted associative latent model,accuracy,causal SCM minus comparator,500,0.003509359605911328,0.0027892994852210294,0.004229419726601627
0.59,Two-nuisance adjusted associative latent model,adjusted_rand_index,causal SCM minus comparator,500,0.008777434540702506,0.0069752429129497084,0.010579626168455303
0.59,Two-nuisance adjusted associative latent model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.03721265955828576,-0.04674634216794722,-0.027678976948624298
0.59,Two-nuisance adjusted associative latent model,brier_score,causal SCM minus comparator,500,-0.00242254743136717,-0.0028847090506625324,-0.0019603858120718076
0.59,Two-nuisance adjusted associative latent model,expected_calibration_error,causal SCM minus comparator,500,-0.001586298027081222,-0.0025424059072274878,-0.000630190146934956
0.59,Two-path latent SCM (counterfactual query),accuracy,causal SCM minus comparator,500,-0.0030443349753694606,-0.0035261622951015857,-0.0025625076556373355
0.59,Two-path latent SCM (counterfactual query),adjusted_rand_index,causal SCM minus comparator,500,-0.007775359318925949,-0.008997308755364253,-0.006553409882487645
0.59,Two-path latent SCM (counterfactual query),false_atrial_renal_competing,causal SCM minus comparator,500,-0.0014321345568509777,-0.004491730916166941,0.001627461802464986
0.59,Two-path latent SCM (counterfactual query),brier_score,causal SCM minus comparator,500,-0.020144178341180426,-0.02059177543863462,-0.01969658124372623
0.59,Two-path latent SCM (counterfactual query),expected_calibration_error,causal SCM minus comparator,500,-0.07582805570083222,-0.07765179032620922,-0.07400432107545521
0.9,Associative latent class model,accuracy,causal SCM minus comparator,500,0.04040591133004926,0.03838505834703808,0.042426764313060444
0.9,Associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.09590517656268381,0.09126956039769647,0.10054079272767115
0.9,Associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.43202788582284396,-0.4432925828838608,-0.4207631887618271
0.9,Associative latent class model,brier_score,causal SCM minus comparator,500,-0.029084365232034472,-0.030416954431876073,-0.027751776032192872
0.9,Associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.029574812912709574,-0.032035777196504585,-0.027113848628914562
0.9,Renal-adjusted associative latent class model,accuracy,causal SCM minus comparator,500,0.0025477832512315244,0.001830646589962423,0.0032649199125006256
0.9,Renal-adjusted associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.006371775055294389,0.004570078446108213,0.008173471664480566
0.9,Renal-adjusted associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.04980250010610488,-0.0590880196889882,-0.040516980523221564
0.9,Renal-adjusted associative latent class model,brier_score,causal SCM minus comparator,500,-0.0017349214996006906,-0.0021325882841455317,-0.0013372547150558493
0.9,Renal-adjusted associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.00028244955722524516,-0.0010974299501003858,0.0005325308356498954
0.9,Two-nuisance adjusted associative latent model,accuracy,causal SCM minus comparator,500,0.002904433497536945,0.0022002364165215928,0.003608630578552297
0.9,Two-nuisance adjusted associative latent model,adjusted_rand_index,causal SCM minus comparator,500,0.007263921202270216,0.005495412377688598,0.009032430026851834
0.9,Two-nuisance adjusted associative latent model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.04868111504649318,-0.057696384428253214,-0.03966584566473315
0.9,Two-nuisance adjusted associative latent model,brier_score,causal SCM minus comparator,500,-0.001912557740483654,-0.0023066017249628286,-0.0015185137560044795
0.9,Two-nuisance adjusted associative latent model,expected_calibration_error,causal SCM minus comparator,500,-0.0005214999800996345,-0.0013358676424950844,0.0002928676822958154
0.9,Two-path latent SCM (counterfactual query),accuracy,causal SCM minus comparator,500,-0.002894581280788178,-0.003403276491567788,-0.002385886070008568
0.9,Two-path latent SCM (counterfactual query),adjusted_rand_index,causal SCM minus comparator,500,-0.007307819346547612,-0.008591900940283908,-0.006023737752811316
0.9,Two-path latent SCM (counterfactual query),false_atrial_renal_competing,causal SCM minus comparator,500,-0.00671122053364781,-0.0093588707893797,-0.00406357027791592
0.9,Two-path latent SCM (counterfactual query),brier_score,causal SCM minus comparator,500,-0.02006895644126336,-0.02049234899410895,-0.019645563888417775
0.9,Two-path latent SCM (counterfactual query),expected_calibration_error,causal SCM minus comparator,500,-0.07674543132448987,-0.07838370670987875,-0.07510715593910099
