renal_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Associative latent class model,accuracy,500,0.8208492610837438,0.013727218437852073,0.0006138998713805142,0.8196431139633189,0.8220554082041687,0.7925862068965517,0.8463054187192118
0.0,Associative latent class model,adjusted_rand_index,500,0.41194881521810894,0.03521878641581846,0.0015750320102163248,0.40885430353589053,0.41504332690032736,0.34178482577790115,0.47919114122998774
0.0,Associative latent class model,false_atrial_renal_competing,500,0.186595255457414,0.06771150935664332,0.00302815075561135,0.1806457586675229,0.19254475224730513,0.06806597528684907,0.32290849673202615
0.0,Associative latent class model,brier_score,500,0.1257036546103018,0.007821806281834973,0.00034980181106035755,0.1250163887110908,0.1263909205095128,0.11147472775050436,0.14062304385658972
0.0,Associative latent class model,expected_calibration_error,500,0.04300499090846883,0.018186706322942475,0.0008133342324984923,0.04140700923718264,0.04460297257975501,0.020360405155568567,0.09219127273183914
0.0,Associative latent class model,mean_posterior_entropy,500,0.37451619876431663,0.019177961326646606,0.0008576645039248771,0.37283112010584857,0.3762012774227847,0.33705593158158653,0.41236090239490547
0.0,Associative latent class model,predicted_atrial_prevalence,500,0.5038522167487686,0.04692584135398038,0.002098587423377418,0.4997290603585019,0.5079753731390353,0.41182266009852214,0.5916502463054187
0.0,Renal-adjusted associative latent class model,accuracy,500,0.8174581280788177,0.015202638043223518,0.0006798826420394435,0.8161223426695804,0.818793913488055,0.7866748768472906,0.8453201970443349
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,500,0.40345229470381944,0.03846024709487419,0.0017199945387115496,0.4000729708812746,0.4068316185263643,0.3280739680616438,0.47646866362809426
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,500,0.1938623205877915,0.11424733388314412,0.005109296096216505,0.18382393638029637,0.2039007047952866,0.022001212856276535,0.46735880398671087
0.0,Renal-adjusted associative latent class model,brier_score,500,0.12827867869003903,0.009386499024451486,0.0004197769977881796,0.12745393048482404,0.12910342689525403,0.11117487027507951,0.148969061948352
0.0,Renal-adjusted associative latent class model,expected_calibration_error,500,0.04476597712913696,0.018476643635830865,0.0008263006233151336,0.04314252000871829,0.046389434249555626,0.022236570024530587,0.09300223348287293
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy,500,0.3705369655831465,0.019311883512584015,0.0008636536861539054,0.3688401198023251,0.37223381136396794,0.33375192727748865,0.4091052119497726
0.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,500,0.5023448275862069,0.04658063347704706,0.0020831492577935923,0.4982520030136057,0.5064376521588081,0.40980295566502467,0.5886945812807881
0.0,Two-nuisance adjusted associative latent model,accuracy,500,0.8170344827586207,0.015376943175099918,0.0006876778045134973,0.8156833819645631,0.8183855835526782,0.7862068965517242,0.8448522167487684
0.0,Two-nuisance adjusted associative latent model,adjusted_rand_index,500,0.4023973877097742,0.03882571725648016,0.0017363388612135254,0.3989859517164339,0.40580882370311444,0.3269966965055646,0.4751762589892424
