heart_failure_effect_sd,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0.0,Two-nuisance adjusted associative latent model,accuracy__heart_failure_only,causal SCM minus comparator,500,-0.0004279241200611197,-0.002557876628124149,0.00170202838800191
0.0,Two-nuisance adjusted associative latent model,accuracy__redundant,causal SCM minus comparator,500,0.009610324899617467,0.0029029148408719705,0.016317734958362966
0.0,Two-nuisance adjusted associative latent model,accuracy__renal_only,causal SCM minus comparator,500,0.010167031087552732,0.0075263910637625876,0.012807671111342877
0.0,Two-nuisance adjusted associative latent model,accuracy__uncomplicated,causal SCM minus comparator,500,0.0009578807623229917,0.0004049567017015514,0.001510804822944432
0.0,Two-nuisance adjusted associative latent model,false_atrial__heart_failure_only,causal SCM minus comparator,500,0.006197152972348619,0.0017067926283179293,0.010687513316379309
0.0,Two-nuisance adjusted associative latent model,false_atrial__redundant,causal SCM minus comparator,500,-0.03670647408147409,-0.04923078317809669,-0.024182164984851484
0.0,Two-nuisance adjusted associative latent model,false_atrial__renal_only,causal SCM minus comparator,500,-0.029382173874502704,-0.03766641099615282,-0.02109793675285259
0.0,Two-nuisance adjusted associative latent model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.0030635169815326976,0.0011469239047178289,0.004980110058347567
0.0,Two-nuisance adjusted associative latent model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.002035112783431736,0.0013478120580585865,0.0027224135088048857
0.0,Two-nuisance adjusted associative latent model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.007358535208810513,0.004600872052038579,0.010116198365582448
0.0,Two-nuisance adjusted associative latent model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.006173093902530841,0.004855916469102489,0.007490271335959193
0.0,Two-nuisance adjusted associative latent model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,0.0016669370161041933,0.0013502880860499962,0.0019835859461583907
0.0,Two-path latent SCM (counterfactual query),accuracy,causal SCM minus comparator,500,-0.002557635467980293,-0.0030394540917120226,-0.0020758168442485633
0.0,Two-path latent SCM (counterfactual query),adjusted_rand_index,causal SCM minus comparator,500,-0.006522245813856893,-0.007750285369834767,-0.005294206257879019
0.0,Two-path latent SCM (counterfactual query),false_atrial_renal_competing,causal SCM minus comparator,500,-0.004183093256461427,-0.00719561019113793,-0.0011705763217849247
0.0,Two-path latent SCM (counterfactual query),brier_score,causal SCM minus comparator,500,-0.0204180428593599,-0.020837628886718678,-0.019998456832001122
0.0,Two-path latent SCM (counterfactual query),expected_calibration_error,causal SCM minus comparator,500,-0.07718354695059147,-0.07881597388841657,-0.07555112001276637
0.0,Two-path latent SCM (counterfactual query),accuracy__heart_failure_only,causal SCM minus comparator,500,-0.0027391704917967925,-0.004279499220042358,-0.0011988417635512274
0.0,Two-path latent SCM (counterfactual query),accuracy__redundant,causal SCM minus comparator,500,-0.003710132766011638,-0.007881893843251464,0.000461628311228189
0.0,Two-path latent SCM (counterfactual query),accuracy__renal_only,causal SCM minus comparator,500,-0.004019718473960806,-0.005222830967635519,-0.0028166059802860926
0.0,Two-path latent SCM (counterfactual query),accuracy__uncomplicated,causal SCM minus comparator,500,-0.002177544850336629,-0.0027071452080370275,-0.0016479444926362301
0.0,Two-path latent SCM (counterfactual query),false_atrial__heart_failure_only,causal SCM minus comparator,500,0.004839289520980748,0.0020077791252313877,0.007670799916730109
0.0,Two-path latent SCM (counterfactual query),false_atrial__redundant,causal SCM minus comparator,500,-0.008239529914529914,-0.01524004024095275,-0.0012390195881070787
0.0,Two-path latent SCM (counterfactual query),false_atrial__renal_only,causal SCM minus comparator,500,-0.004047052220315265,-0.007106783802350324,-0.0009873206382802055
0.0,Two-path latent SCM (counterfactual query),false_atrial__uncomplicated,causal SCM minus comparator,500,0.00389983967219068,0.0019033173525868793,0.005896361991794481
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.24381384157187755,0.24066650369309447,0.24696117945066062
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.24281624896038526,0.23773615446676397,0.24789634345400655
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.2433212748331103,0.24081783300813792,0.2458247166580827
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,0.2448175863704757,0.24262122492791516,0.24701394781303626
0.32,Associative latent class model,accuracy,causal SCM minus comparator,500,0.01280591133004926,0.011649841084799684,0.013961981575298836
0.32,Associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.03169899914200143,0.02886636153130805,0.034531636752694814
0.32,Associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.22302055419159353,-0.23142792500071502,-0.21461318338247204
0.32,Associative latent class model,brier_score,causal SCM minus comparator,500,-0.008921879952984588,-0.00963221601107356,-0.008211543894895616
0.32,Associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.006196936704051925,-0.007782578519009011,-0.00461129488909484
0.32,Associative latent class model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.0005435186261303558,-0.0021814586194886594,0.0032684958717493708
0.32,Associative latent class model,accuracy__redundant,causal SCM minus comparator,500,0.08653926316097268,0.07427918668483985,0.09879933963710552
0.32,Associative latent class model,accuracy__renal_only,causal SCM minus comparator,500,0.04196059028364958,0.037888329814821806,0.04603285075247736
0.32,Associative latent class model,accuracy__uncomplicated,causal SCM minus comparator,500,0.00514319051789834,0.003936755124285132,0.006349625911511549
0.32,Associative latent class model,false_atrial__heart_failure_only,causal SCM minus comparator,500,-0.010993773074428155,-0.016236791489676054,-0.005750754659180257
0.32,Associative latent class model,false_atrial__redundant,causal SCM minus comparator,499,-0.3174832857962275,-0.33641339224777567,-0.2985531793446793
0.32,Associative latent class model,false_atrial__renal_only,causal SCM minus comparator,500,-0.2159146133479128,-0.22422440235215935,-0.20760482434366623
0.32,Associative latent class model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.041146140985553685,0.038550512452008884,0.043741769519098486
0.32,Associative latent class model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,-0.00479658907652003,-0.0058854424813402,-0.003707735671699861
0.32,Associative latent class model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.03300541459224517,0.026651047285527984,0.03935978189896236
0.32,Associative latent class model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.01572862417538493,0.013296759860165935,0.01816048849060392
0.32,Associative latent class model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,-0.0025794208098202823,-0.0035122933875313877,-0.0016465482321091768
0.32,Renal-adjusted associative latent class model,accuracy,causal SCM minus comparator,500,0.002961576354679801,0.0022026674142674642,0.003720485295092138
0.32,Renal-adjusted associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.007342212953933278,0.005454122702374329,0.009230303205492226
0.32,Renal-adjusted associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.033818104855478766,-0.04321226156215917,-0.024423948148798363
0.32,Renal-adjusted associative latent class model,brier_score,causal SCM minus comparator,500,-0.0021774234790598894,-0.0025987368722206645,-0.0017561100858991142
0.32,Renal-adjusted associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.0013788359704094777,-0.002241678186052482,-0.0005159937547664732
