heart_failure_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Associative latent class model,accuracy,500,0.8070344827586207,0.016575942083919562,0.0007412986658148732,0.8055780314823943,0.8084909340348471,0.7714285714285715,0.8374384236453202
0.0,Associative latent class model,adjusted_rand_index,500,0.3775641552763347,0.04050036007556264,0.0018112311648435316,0.37400557617289376,0.3811227343797756,0.29399791319270985,0.4549214572708032
0.0,Associative latent class model,false_atrial_renal_competing,500,0.3845323280105962,0.11222343327936175,0.0050187845096213,0.37467177457750966,0.3943928814436828,0.1834862385321101,0.6185388366422848
0.0,Associative latent class model,brier_score,500,0.13540413648184998,0.010183906389806686,0.0004554381392820444,0.13450932378382582,0.13629894917987415,0.11690003793090241,0.15906041890087033
0.0,Associative latent class model,expected_calibration_error,500,0.05112457737686621,0.019514828542163333,0.0008727296637906066,0.049409899756030023,0.052839254997702395,0.023448146683578572,0.09692821353087595
0.0,Associative latent class model,mean_posterior_entropy,500,0.37115453580957974,0.019952884192489015,0.0008923201080317287,0.3694013682671605,0.37290770335199896,0.3334220866124007,0.41489856630984395
0.0,Associative latent class model,predicted_atrial_prevalence,500,0.49850246305418716,0.049238013492732394,0.0022019909049360293,0.49417614680457184,0.5028287793038025,0.40834975369458126,0.596576354679803
0.0,Associative latent class model,renal_competing_subgroup_size,500,101.17,9.425645101060313,0.4215276635551747,100.34181221029878,101.99818778970122,83.0,119.0
0.0,Associative latent class model,accuracy__uncomplicated,500,0.8150430654175355,0.017248827072990754,0.000771390997346921,0.8135274908531047,0.8165586399819662,0.7798262857257185,0.846723921218291
0.0,Associative latent class model,false_atrial__uncomplicated,500,0.144515512730178,0.046845117576989434,0.0020949773463223723,0.14039944916440508,0.1486315762959509,0.07220111420612814,0.2438419459962755
0.0,Associative latent class model,mean_posterior_entropy__uncomplicated,500,0.37490102471976744,0.020575500677395,0.0009201643637149639,0.3730931507498372,0.3767088986896977,0.3382525126629082,0.4220681947614897
0.0,Associative latent class model,subgroup_size__uncomplicated,500,756.674,13.865649515004549,0.6200906973547432,755.4556895818291,757.8923104181708,729.475,783.525
0.0,Associative latent class model,competing_subgroup_size__uncomplicated,500,379.066,15.033351166476129,0.6723119027573276,377.7450890447418,380.38691095525814,351.0,409.525
0.0,Associative latent class model,accuracy__renal_only,500,0.773580718974714,0.04896181169911071,0.00218963878521512,0.7692786712977554,0.7778827666516727,0.6632089151450054,0.8594193412162162
0.0,Associative latent class model,false_atrial__renal_only,500,0.3848150931698036,0.11422515183910556,0.005108304085049503,0.3747786579958045,0.3948515283438027,0.18478260869565216,0.6246703796317344
0.0,Associative latent class model,mean_posterior_entropy__renal_only,500,0.3561077446469036,0.029016558818008603,0.0012976599598037636,0.3535581939843693,0.3586572953094379,0.29195853522976517,0.4134937051416453
0.0,Associative latent class model,subgroup_size__renal_only,500,187.32,12.180407409003143,0.5447243792034622,186.24976400219145,188.39023599780853,164.0,210.0
0.0,Associative latent class model,competing_subgroup_size__renal_only,500,94.308,9.03972174009115,0.4042686461705299,93.51372150901398,95.10227849098604,77.475,111.0
0.0,Associative latent class model,accuracy__heart_failure_only,500,0.8173349798963385,0.05125184663260877,0.0022920522608581378,0.8128317174537508,0.8218382423389262,0.7035776997366111,0.9091389207807118
0.0,Associative latent class model,false_atrial__heart_failure_only,500,0.14467639947963318,0.0798367228046831,0.0035704067858415814,0.1376615163297084,0.15169128262955794,0.0,0.3154829545454544
0.0,Associative latent class model,mean_posterior_entropy__heart_failure_only,500,0.3747238595445209,0.0372734223413604,0.0016669181221868243,0.3714488165174905,0.37799890257155133,0.30023014689068855,0.45012878743739543
0.0,Associative latent class model,subgroup_size__heart_failure_only,500,57.146,7.3192778096824975,0.32732805457311664,56.50288895068538,57.78911104931462,43.0,72.0
0.0,Associative latent class model,competing_subgroup_size__heart_failure_only,500,28.636,5.351334184585207,0.2393189401410186,28.16580304448492,29.106196955515077,19.0,39.0
0.0,Associative latent class model,accuracy__redundant,500,0.7799126591370624,0.11659869127067768,0.005214451995374932,0.769667672043855,0.7901576462302699,0.5357692307692308,1.0
0.0,Associative latent class model,false_atrial__redundant,500,0.3839448301698302,0.21404705489784315,0.009572475302704131,0.36513750659810384,0.4027521537415566,0.0,0.8174999999999992
0.0,Associative latent class model,mean_posterior_entropy__redundant,500,0.3545562569661458,0.07167190801047572,0.0032052651677707085,0.34825877828511764,0.36085373564717393,0.21784269280080526,0.4944457330091884
0.0,Associative latent class model,subgroup_size__redundant,500,13.86,3.771053126563816,0.1686466227551962,13.528655023582056,14.191344976417943,7.475000000000001,22.0
0.0,Associative latent class model,competing_subgroup_size__redundant,500,6.862,2.6261663121359997,0.11744572788312052,6.631250926582093,7.092749073417907,2.0,12.0
0.0,Renal-adjusted associative latent class model,accuracy,500,0.8177990147783251,0.014076397969968122,0.0006295156547837752,0.8165621868692845,0.8190358426873656,0.7901477832512315,0.8424137931034482
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,500,0.4041886556751162,0.035597088581475894,0.0015919501973852331,0.4010609043333248,0.4073164070169076,0.3360884587844789,0.4684691762863848
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,500,0.1906299527666241,0.10792720930711962,0.004826651532651349,0.18114688864036832,0.20011301689287986,0.03389976958525346,0.45138157894736836
0.0,Renal-adjusted associative latent class model,brier_score,500,0.1278604557733805,0.00856183959993065,0.00038289710715789073,0.12710816657322324,0.12861274497353778,0.11275630847661244,0.14609588785237615
0.0,Renal-adjusted associative latent class model,expected_calibration_error,500,0.043911566095918474,0.018051040651138096,0.000807267079211137,0.042325504739015585,0.04549762745282136,0.01778423794553463,0.08811646143660906
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy,500,0.3714318690603578,0.019225662741179785,0.0008597977760352589,0.3697425990994755,0.3731211390212401,0.3357940680122413,0.41067714684395384
0.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,500,0.4979369458128079,0.04462844260350487,0.0019958446278276914,0.49401565121267,0.5018582404129458,0.4068472906403941,0.5877093596059113
0.0,Renal-adjusted associative latent class model,renal_competing_subgroup_size,500,101.17,9.425645101060313,0.4215276635551747,100.34181221029878,101.99818778970122,83.0,119.0
0.0,Renal-adjusted associative latent class model,accuracy__uncomplicated,500,0.8199217022688476,0.015264684017607437,0.0006826574223684964,0.8185804651671443,0.821262939370551,0.7894875097029145,0.8475331125827814
0.0,Renal-adjusted associative latent class model,false_atrial__uncomplicated,500,0.17911153661494378,0.052244906972846755,0.002336463269388762,0.17452101855861255,0.183702054671275,0.09382100532693076,0.28887121456185566
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy__uncomplicated,500,0.3726884676147048,0.019885276594318015,0.0008892966043256117,0.37094124043888077,0.37443569479052885,0.33457570099714545,0.4135681586223419
0.0,Renal-adjusted associative latent class model,subgroup_size__uncomplicated,500,756.674,13.865649515004549,0.6200906973547432,755.4556895818291,757.8923104181708,729.475,783.525
0.0,Renal-adjusted associative latent class model,competing_subgroup_size__uncomplicated,500,379.066,15.033351166476129,0.6723119027573276,377.7450890447418,380.38691095525814,351.0,409.525
0.0,Renal-adjusted associative latent class model,accuracy__renal_only,500,0.8077443522483191,0.03781240967108883,0.0016910223683525016,0.8044219509003994,0.8110667535962388,0.7212082318134354,0.8691422983795865
0.0,Renal-adjusted associative latent class model,false_atrial__renal_only,500,0.18976506569618623,0.10870493288503054,0.004861432388409612,0.1802136666003785,0.19931646479199397,0.032068077803203664,0.442892156862745
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy__renal_only,500,0.36651392243934494,0.026428878741303143,0.001181935388693058,0.36419173924293125,0.36883610563575864,0.31331553995522016,0.4135745738150562
0.0,Renal-adjusted associative latent class model,subgroup_size__renal_only,500,187.32,12.180407409003143,0.5447243792034622,186.24976400219145,188.39023599780853,164.0,210.0
0.0,Renal-adjusted associative latent class model,competing_subgroup_size__renal_only,500,94.308,9.03972174009115,0.4042686461705299,93.51372150901398,95.10227849098604,77.475,111.0
