repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
11,0.0,Two-path biologically constrained latent SCM,True,26,2,-3591.850329882811,0.4034711936393751,1.8449728524880002
11,0.0,Two-path latent SCM (counterfactual query),True,26,2,-3591.850329882811,0.4034711936393751,1.8449728524880002
12,0.0,Associative latent class model,True,20,0,-4033.391118651034,0.48717405677962866,1.7603451359148137
12,0.0,Renal-adjusted associative latent class model,True,28,3,-3641.837234244832,0.47942469242506625,1.7710342735549807
12,0.0,Two-nuisance adjusted associative latent model,True,21,0,-3639.273047852951,0.486225917969533,1.7765946912125035
12,0.0,Two-path biologically constrained latent SCM,True,24,3,-3643.6984339930623,0.48199832490648475,1.7607431621223963
12,0.0,Two-path latent SCM (counterfactual query),True,24,3,-3643.6984339930623,0.48199832490648475,1.7607431621223963
13,0.0,Associative latent class model,True,16,0,-4064.2260984242757,0.47677090191161625,2.162943766402405
13,0.0,Renal-adjusted associative latent class model,True,22,3,-3674.8463918671046,0.4753002865641649,2.1787280953728825
13,0.0,Two-nuisance adjusted associative latent model,True,25,3,-3674.1034997250813,0.4706607971355599,2.180689154822719
13,0.0,Two-path biologically constrained latent SCM,True,20,3,-3675.08312930345,0.4753527433107962,2.1688497391729626
13,0.0,Two-path latent SCM (counterfactual query),True,20,3,-3675.08312930345,0.4753527433107962,2.1688497391729626
14,0.0,Associative latent class model,True,22,3,-3975.007112198644,0.45927160140407464,2.201559319004014
14,0.0,Renal-adjusted associative latent class model,True,37,0,-3590.8948074141344,0.42227051245701674,2.2788728109086316
14,0.0,Two-nuisance adjusted associative latent model,True,38,0,-3590.5132122824452,0.42030704356228626,2.2729377626842298
14,0.0,Two-path biologically constrained latent SCM,True,24,1,-3593.7203761294595,0.45217555475854526,2.176662431455495
14,0.0,Two-path latent SCM (counterfactual query),True,24,1,-3593.7203761294595,0.45217555475854526,2.176662431455495
15,0.0,Associative latent class model,True,22,1,-4084.488562904093,0.49805436652305146,1.9421721044957645
15,0.0,Renal-adjusted associative latent class model,True,22,1,-3662.5953651926384,0.4974961715825751,1.938391849419987
15,0.0,Two-nuisance adjusted associative latent model,True,22,1,-3661.3065588321006,0.49778853494297093,1.9444178858879293
15,0.0,Two-path biologically constrained latent SCM,True,22,1,-3661.709539549121,0.49723124311075595,1.9406880781646745
15,0.0,Two-path latent SCM (counterfactual query),True,22,1,-3661.709539549121,0.49723124311075595,1.9406880781646745
16,0.0,Associative latent class model,True,15,0,-4097.389207681659,0.48804962427346005,2.1041787199416735
16,0.0,Renal-adjusted associative latent class model,True,16,0,-3666.1186162453305,0.4918570193038751,2.1042104621448434
16,0.0,Two-nuisance adjusted associative latent model,True,16,0,-3665.2869977385944,0.4982950129011142,2.0987782772299033
16,0.0,Two-path biologically constrained latent SCM,True,16,0,-3668.9447470727655,0.4896254685068342,2.088067478321781
16,0.0,Two-path latent SCM (counterfactual query),True,16,0,-3668.9447470727655,0.4896254685068342,2.088067478321781
17,0.0,Associative latent class model,True,23,0,-4004.1100983478136,0.4547289119233689,2.2776831218847766
17,0.0,Renal-adjusted associative latent class model,True,23,0,-3650.470512133582,0.45239915556644833,2.273044132192866
17,0.0,Two-nuisance adjusted associative latent model,True,28,3,-3649.798612492653,0.449751217731343,2.2813379563449723
17,0.0,Two-path biologically constrained latent SCM,True,23,1,-3650.44455115815,0.45630004437739957,2.267192586637333
17,0.0,Two-path latent SCM (counterfactual query),True,23,1,-3650.44455115815,0.45630004437739957,2.267192586637333
18,0.0,Associative latent class model,True,22,0,-4022.3735939381895,0.46561477742228513,2.1465490942099112
18,0.0,Renal-adjusted associative latent class model,True,24,0,-3604.727103655888,0.47273770804504767,2.2359417676022204
18,0.0,Two-nuisance adjusted associative latent model,True,19,3,-3603.687436508561,0.4775589449294826,2.2704085682100983
18,0.0,Two-path biologically constrained latent SCM,True,36,2,-3606.275759286708,0.4605524010568706,2.1443455175586554
18,0.0,Two-path latent SCM (counterfactual query),True,36,2,-3606.275759286708,0.4605524010568706,2.1443455175586554
19,0.0,Associative latent class model,True,15,3,-4044.4151225219143,0.47927571304308764,2.2250075541855785
19,0.0,Renal-adjusted associative latent class model,True,18,3,-3639.5258622076904,0.48765491499596764,2.2453500658210146
19,0.0,Two-nuisance adjusted associative latent model,True,17,3,-3630.0532553873545,0.48815670766303015,2.251663704287152
19,0.0,Two-path biologically constrained latent SCM,True,24,1,-3632.9599077751827,0.4752442365617403,2.19783213402323
19,0.0,Two-path latent SCM (counterfactual query),True,24,1,-3632.9599077751827,0.4752442365617403,2.19783213402323
20,0.0,Associative latent class model,True,27,1,-4052.132804889686,0.468358357190433,2.006183476218415
20,0.0,Renal-adjusted associative latent class model,True,28,3,-3630.07965395094,0.4560496682216574,2.008900778276393
20,0.0,Two-nuisance adjusted associative latent model,True,22,3,-3629.4057599963508,0.4700264828485683,2.0266454625676737
20,0.0,Two-path biologically constrained latent SCM,True,27,1,-3629.966749010615,0.47079609382844384,2.0066295617772485
20,0.0,Two-path latent SCM (counterfactual query),True,27,1,-3629.966749010615,0.47079609382844384,2.0066295617772485
21,0.0,Associative latent class model,True,16,0,-4035.868582976582,0.49206063158452046,1.9273008850415796
21,0.0,Renal-adjusted associative latent class model,True,29,3,-3632.488053801338,0.4877181451354242,1.9648075667625111
21,0.0,Two-nuisance adjusted associative latent model,True,23,3,-3631.042168901069,0.48416509055076046,1.9725540451182793
21,0.0,Two-path biologically constrained latent SCM,True,16,0,-3632.830394777977,0.49239678444239127,1.9310495731733734
21,0.0,Two-path latent SCM (counterfactual query),True,16,0,-3632.830394777977,0.49239678444239127,1.9310495731733734
22,0.0,Associative latent class model,True,37,2,-4081.9613384775175,0.4276459521139425,2.042970053387176
22,0.0,Renal-adjusted associative latent class model,True,74,3,-3665.849617110005,0.4144250813541534,2.1605322181535773
22,0.0,Two-nuisance adjusted associative latent model,True,40,0,-3663.60392037548,0.4193674159184107,2.166288071194603
22,0.0,Two-path biologically constrained latent SCM,True,27,3,-3669.36525475906,0.45215718517385267,2.017968402882318
22,0.0,Two-path latent SCM (counterfactual query),True,27,3,-3669.36525475906,0.45215718517385267,2.017968402882318
23,0.0,Associative latent class model,True,28,0,-4099.526825433735,0.4524292142618198,1.754292923719314
23,0.0,Renal-adjusted associative latent class model,True,29,0,-3675.9586660709047,0.4691269204100667,1.8542276724862217
23,0.0,Two-nuisance adjusted associative latent model,True,28,0,-3675.4080664863804,0.46954210680234376,1.851353413321445
23,0.0,Two-path biologically constrained latent SCM,True,38,2,-3679.6313909872733,0.4362812114638406,1.7589205417747977
23,0.0,Two-path latent SCM (counterfactual query),True,38,2,-3679.6313909872733,0.4362812114638406,1.7589205417747977
24,0.0,Associative latent class model,True,18,0,-4038.2469773000703,0.47595583532278807,2.108938566904038
24,0.0,Renal-adjusted associative latent class model,True,29,1,-3647.4787325410343,0.48248402266790774,2.086794647947202
24,0.0,Two-nuisance adjusted associative latent model,True,29,1,-3645.935539509248,0.48102222090715996,2.0904673882001745
24,0.0,Two-path biologically constrained latent SCM,True,19,0,-3646.2508177864765,0.47456377120177856,2.1095435908273177
24,0.0,Two-path latent SCM (counterfactual query),True,19,0,-3646.2508177864765,0.47456377120177856,2.1095435908273177
25,0.0,Associative latent class model,True,24,1,-4033.203201239438,0.48121911356521935,2.1417010952282416
25,0.0,Renal-adjusted associative latent class model,True,15,0,-3618.536310926497,0.4921724283174821,2.15884178150838
25,0.0,Two-nuisance adjusted associative latent model,True,16,0,-3615.733497507274,0.49318680562225437,2.1781745500182477
25,0.0,Two-path biologically constrained latent SCM,True,15,0,-3617.2044147152683,0.49348602477654835,2.152314060018167
25,0.0,Two-path latent SCM (counterfactual query),True,15,0,-3617.2044147152683,0.49348602477654835,2.152314060018167
26,0.0,Associative latent class model,True,13,3,-4089.163627029522,0.49221731958759946,1.8701655051238437
26,0.0,Renal-adjusted associative latent class model,True,18,0,-3674.1124382960415,0.4980098409097562,1.910461232665438
26,0.0,Two-nuisance adjusted associative latent model,True,18,0,-3673.3224399489345,0.4979150940488428,1.912299049929062
26,0.0,Two-path biologically constrained latent SCM,True,18,0,-3675.012858971403,0.4946696644698098,1.9097699067250589
26,0.0,Two-path latent SCM (counterfactual query),True,18,0,-3675.012858971403,0.4946696644698098,1.9097699067250589
27,0.0,Associative latent class model,True,17,1,-4016.9082824099014,0.4758909262765516,2.3202259413982302
27,0.0,Renal-adjusted associative latent class model,True,28,3,-3619.7511597757984,0.4914661838624976,2.4434417832387014
27,0.0,Two-nuisance adjusted associative latent model,True,53,0,-3619.5530340252626,0.49460650683846097,2.39731381433666
27,0.0,Two-path biologically constrained latent SCM,True,40,2,-3624.401496669761,0.4589785948103517,2.3301691948751193
27,0.0,Two-path latent SCM (counterfactual query),True,40,2,-3624.401496669761,0.4589785948103517,2.3301691948751193
28,0.0,Associative latent class model,True,12,1,-4035.365460206949,0.49418532796703546,2.148301065049502
28,0.0,Renal-adjusted associative latent class model,True,26,3,-3647.319047264643,0.49407953304781344,2.1858313326322616
28,0.0,Two-nuisance adjusted associative latent model,True,13,3,-3645.411928678228,0.49151178452462035,2.196448690002094
28,0.0,Two-path biologically constrained latent SCM,True,12,1,-3647.5014894299557,0.49357022679191515,2.154123228060584
28,0.0,Two-path latent SCM (counterfactual query),True,12,1,-3647.5014894299557,0.49357022679191515,2.154123228060584
29,0.0,Associative latent class model,True,16,1,-4114.378982059471,0.47157945549553804,2.2086897376757673
29,0.0,Renal-adjusted associative latent class model,True,19,0,-3702.902881015062,0.4717543860036838,2.1931554614261817
29,0.0,Two-nuisance adjusted associative latent model,True,25,3,-3702.6325516574534,0.46972086668836077,2.189930655563
29,0.0,Two-path biologically constrained latent SCM,True,28,2,-3703.37597472763,0.4641446128231408,2.198408057535006
29,0.0,Two-path latent SCM (counterfactual query),True,28,2,-3703.37597472763,0.4641446128231408,2.198408057535006
30,0.0,Associative latent class model,True,17,1,-4062.918216585077,0.4775433408496969,1.8424662541771415
30,0.0,Renal-adjusted associative latent class model,True,19,1,-3656.0856353919007,0.47687699042592535,1.8382825223449557
30,0.0,Two-nuisance adjusted associative latent model,True,20,1,-3655.728668347585,0.4764751879250958,1.8350548405672078
30,0.0,Two-path biologically constrained latent SCM,True,17,1,-3655.8771234055416,0.47948830667132325,1.8428830983092566
30,0.0,Two-path latent SCM (counterfactual query),True,17,1,-3655.8771234055416,0.47948830667132325,1.8428830983092566
31,0.0,Associative latent class model,True,22,2,-4021.2162943735475,0.4044973298318041,1.9576384726220768
31,0.0,Renal-adjusted associative latent class model,True,39,3,-3633.3101271432693,0.4176812979802854,1.9430382016015528
31,0.0,Two-nuisance adjusted associative latent model,True,60,3,-3631.9475536637747,0.4137316083876205,1.9543108145818424
31,0.0,Two-path biologically constrained latent SCM,True,25,2,-3632.3192283781696,0.4096961349811372,1.9493138331313373
31,0.0,Two-path latent SCM (counterfactual query),True,25,2,-3632.3192283781696,0.4096961349811372,1.9493138331313373
32,0.0,Associative latent class model,True,25,1,-4035.6557918118656,0.4667368480183254,2.091950775298227
32,0.0,Renal-adjusted associative latent class model,True,26,1,-3636.193535023045,0.46491842582593035,2.0945874876221597
32,0.0,Two-nuisance adjusted associative latent model,True,27,1,-3632.1373026919855,0.46311445964478265,2.08640434247906
32,0.0,Two-path biologically constrained latent SCM,True,25,3,-3633.7546261206317,0.4747776779260077,2.083672283556826
32,0.0,Two-path latent SCM (counterfactual query),True,25,3,-3633.7546261206317,0.4747776779260077,2.083672283556826
33,0.0,Associative latent class model,True,14,3,-3988.9610464528214,0.4828000161364941,1.9499574995513256
33,0.0,Renal-adjusted associative latent class model,True,22,3,-3593.2056574427625,0.4918063105207531,1.9947224667450056
33,0.0,Two-nuisance adjusted associative latent model,True,24,1,-3592.5122649933583,0.4849057396168676,1.957992186988374
33,0.0,Two-path biologically constrained latent SCM,True,22,1,-3593.859871051208,0.4796241066697797,1.9370254437488008
33,0.0,Two-path latent SCM (counterfactual query),True,22,1,-3593.859871051208,0.4796241066697797,1.9370254437488008
34,0.0,Associative latent class model,True,20,0,-4071.038293251109,0.4896804375108869,1.8073244174707568
34,0.0,Renal-adjusted associative latent class model,True,16,1,-3678.2902157819117,0.49207079991816305,1.8230796290531126
34,0.0,Two-nuisance adjusted associative latent model,True,16,1,-3677.800412095894,0.4923305393987522,1.8239129560669305
34,0.0,Two-path biologically constrained latent SCM,True,21,0,-3678.630457453707,0.48236614001134476,1.8171034701246005
34,0.0,Two-path latent SCM (counterfactual query),True,21,0,-3678.630457453707,0.48236614001134476,1.8171034701246005
35,0.0,Associative latent class model,True,16,1,-4007.4900741101774,0.49793181175029294,1.7769930132575524
35,0.0,Renal-adjusted associative latent class model,True,19,0,-3594.3687788038796,0.49847032972634836,1.8237015585596081
35,0.0,Two-nuisance adjusted associative latent model,True,19,0,-3594.07893191076,0.4986699199358155,1.82454531035288
35,0.0,Two-path biologically constrained latent SCM,True,13,3,-3594.673054444751,0.49764335130309706,1.7886998455641692
35,0.0,Two-path latent SCM (counterfactual query),True,13,3,-3594.673054444751,0.49764335130309706,1.7886998455641692
36,0.0,Associative latent class model,True,11,3,-4001.650614803597,0.4932024168628591,1.9208522515237962
36,0.0,Renal-adjusted associative latent class model,True,19,3,-3600.3540447308415,0.48060164450936155,2.0222643487929814
36,0.0,Two-nuisance adjusted associative latent model,True,18,0,-3597.781696494879,0.4833355373844761,2.018062792705369
36,0.0,Two-path biologically constrained latent SCM,True,22,3,-3600.1662515950966,0.4885160327514761,1.9726372705412816
36,0.0,Two-path latent SCM (counterfactual query),True,22,3,-3600.1662515950966,0.4885160327514761,1.9726372705412816
37,0.0,Associative latent class model,True,35,2,-4041.8457026746055,0.4505404008672916,1.9972507902821808
37,0.0,Renal-adjusted associative latent class model,True,21,1,-3633.195539669067,0.46055331449263465,1.9800503633637487
37,0.0,Two-nuisance adjusted associative latent model,True,24,0,-3632.2127123943897,0.4588082500522968,1.9885303181291887
37,0.0,Two-path biologically constrained latent SCM,True,33,2,-3633.1675363344916,0.45178279980846875,1.9956887849422047
37,0.0,Two-path latent SCM (counterfactual query),True,33,2,-3633.1675363344916,0.45178279980846875,1.9956887849422047
38,0.0,Associative latent class model,True,24,3,-4011.032555558004,0.46579972376947043,2.1266632796018383
38,0.0,Renal-adjusted associative latent class model,True,23,3,-3629.2944546777144,0.45830172088398696,2.1720604013403197
38,0.0,Two-nuisance adjusted associative latent model,True,24,3,-3626.113017446448,0.4559078609581505,2.1882611495760553
38,0.0,Two-path biologically constrained latent SCM,True,33,2,-3629.48064330627,0.4557980018414105,2.13602703500351
38,0.0,Two-path latent SCM (counterfactual query),True,33,2,-3629.48064330627,0.4557980018414105,2.13602703500351
39,0.0,Associative latent class model,True,17,3,-4018.454240640004,0.4940293793559776,1.9830321347032107
39,0.0,Renal-adjusted associative latent class model,True,24,1,-3627.8244650608185,0.49736444057672174,1.985924742353733
39,0.0,Two-nuisance adjusted associative latent model,True,29,1,-3625.2047214057447,0.4921828071735901,1.9968330853530118
39,0.0,Two-path biologically constrained latent SCM,True,15,3,-3626.9006819350834,0.4952682861018131,2.0025841958470783
39,0.0,Two-path latent SCM (counterfactual query),True,15,3,-3626.9006819350834,0.4952682861018131,2.0025841958470783
40,0.0,Associative latent class model,True,20,0,-3981.0323511309025,0.47871752362353237,2.033197775813544
40,0.0,Renal-adjusted associative latent class model,True,19,3,-3607.058469803204,0.48012900274972226,1.9635882698400202
40,0.0,Two-nuisance adjusted associative latent model,True,27,0,-3606.2948804149955,0.4787150260453238,1.9728507063732001
40,0.0,Two-path biologically constrained latent SCM,True,17,3,-3606.4143998673344,0.4816858144299197,1.9766986608659378
40,0.0,Two-path latent SCM (counterfactual query),True,17,3,-3606.4143998673344,0.4816858144299197,1.9766986608659378
41,0.0,Associative latent class model,True,20,0,-4107.23252030338,0.47041960932427407,1.9113340642392047
41,0.0,Renal-adjusted associative latent class model,True,19,3,-3688.995125098605,0.4729992457369069,1.9167645956237547
41,0.0,Two-nuisance adjusted associative latent model,True,29,0,-3687.4240008735987,0.46887010776944293,1.9163370281010366
41,0.0,Two-path biologically constrained latent SCM,True,20,0,-3689.0992467880665,0.4708661910362237,1.914367923178287
41,0.0,Two-path latent SCM (counterfactual query),True,20,0,-3689.0992467880665,0.4708661910362237,1.914367923178287
42,0.0,Associative latent class model,True,27,2,-3991.124617764568,0.4162264134832763,1.8950567157270735
42,0.0,Renal-adjusted associative latent class model,True,43,1,-3611.8698901005373,0.4578119768775407,1.9192625560675078
42,0.0,Two-nuisance adjusted associative latent model,True,38,3,-3608.3975444900243,0.4499282279550005,1.940410127941608
42,0.0,Two-path biologically constrained latent SCM,True,26,2,-3612.881154016417,0.4028169488098585,1.8989649376312618
42,0.0,Two-path latent SCM (counterfactual query),True,26,2,-3612.881154016417,0.4028169488098585,1.8989649376312618
43,0.0,Associative latent class model,True,31,2,-4049.4098434437365,0.4497553206806872,2.1126660316041495
43,0.0,Renal-adjusted associative latent class model,True,42,1,-3652.108669381487,0.44870305872786387,2.0800929184702976
43,0.0,Two-nuisance adjusted associative latent model,True,45,0,-3650.990754591211,0.4480687083175352,2.0797893828694622
43,0.0,Two-path biologically constrained latent SCM,True,16,3,-3651.6256666827485,0.45468562569163073,2.068334830808234
43,0.0,Two-path latent SCM (counterfactual query),True,16,3,-3651.6256666827485,0.45468562569163073,2.068334830808234
44,0.0,Associative latent class model,True,18,3,-4036.6004462826418,0.4900323760071234,2.057757563132024
44,0.0,Renal-adjusted associative latent class model,True,26,3,-3625.2339259115984,0.48870719011106495,2.0401730911158698
44,0.0,Two-nuisance adjusted associative latent model,True,24,1,-3624.362190351749,0.48924041438624416,2.0427629475920677
44,0.0,Two-path biologically constrained latent SCM,True,18,3,-3624.577167030235,0.48914565325110637,2.037195364626764
44,0.0,Two-path latent SCM (counterfactual query),True,18,3,-3624.577167030235,0.48914565325110637,2.037195364626764
45,0.0,Associative latent class model,True,29,3,-3983.6175644814566,0.4398970007729843,2.095373191019041
45,0.0,Renal-adjusted associative latent class model,True,32,0,-3612.5680816807094,0.4376947229897938,2.094081931903742
45,0.0,Two-nuisance adjusted associative latent model,True,26,1,-3611.808184731228,0.43826505612234,2.097898047842346
45,0.0,Two-path biologically constrained latent SCM,True,47,2,-3611.9034811145075,0.4388945685519948,2.0998674443989165
45,0.0,Two-path latent SCM (counterfactual query),True,47,2,-3611.9034811145075,0.4388945685519948,2.0998674443989165
46,0.0,Associative latent class model,True,22,1,-4038.617621751147,0.48032868272088153,2.00918699763057
46,0.0,Renal-adjusted associative latent class model,True,49,3,-3656.684976228825,0.48089403839784595,2.07671677843181
46,0.0,Two-nuisance adjusted associative latent model,True,47,0,-3655.5625616001325,0.48004068467408934,2.073095064234271
46,0.0,Two-path biologically constrained latent SCM,True,19,3,-3660.8863929058216,0.4839875972364407,2.0032352660579162
46,0.0,Two-path latent SCM (counterfactual query),True,19,3,-3660.8863929058216,0.4839875972364407,2.0032352660579162
47,0.0,Associative latent class model,True,27,1,-4076.812348419292,0.4480793324370439,2.0267951861689526
47,0.0,Renal-adjusted associative latent class model,True,39,3,-3666.241305054759,0.4520092892620646,2.0345378376803747
47,0.0,Two-nuisance adjusted associative latent model,True,31,3,-3665.562702881417,0.44796101047444375,2.0327411723177145
47,0.0,Two-path biologically constrained latent SCM,True,51,2,-3667.79724616627,0.44676083650905496,2.0262972355695466
47,0.0,Two-path latent SCM (counterfactual query),True,51,2,-3667.79724616627,0.44676083650905496,2.0262972355695466
48,0.0,Associative latent class model,True,16,0,-4026.225322844359,0.4776869118872189,2.2446736050289573
48,0.0,Renal-adjusted associative latent class model,True,17,0,-3621.074204105225,0.4765152340272249,2.248584570722839
48,0.0,Two-nuisance adjusted associative latent model,True,17,0,-3618.93980928977,0.4759340840528462,2.2521128529210452
48,0.0,Two-path biologically constrained latent SCM,True,16,0,-3619.1180682235804,0.47844952418892184,2.2353757008902937
48,0.0,Two-path latent SCM (counterfactual query),True,16,0,-3619.1180682235804,0.47844952418892184,2.2353757008902937
49,0.0,Associative latent class model,True,40,2,-4038.4528608816227,0.43209562003703,2.0878305099333416
49,0.0,Renal-adjusted associative latent class model,True,32,3,-3591.8560421162365,0.44705317660204175,2.0663256408081487
49,0.0,Two-nuisance adjusted associative latent model,True,30,3,-3591.8094700750266,0.4465545566762794,2.068448501011665
49,0.0,Two-path biologically constrained latent SCM,True,36,2,-3591.8381361861566,0.4324343096458827,2.0863979191412922
49,0.0,Two-path latent SCM (counterfactual query),True,36,2,-3591.8381361861566,0.4324343096458827,2.0863979191412922
50,0.0,Associative latent class model,True,26,0,-4015.6712294467325,0.4862548510884656,1.8096123168134557
50,0.0,Renal-adjusted associative latent class model,True,30,3,-3604.5826221772522,0.46544444405928326,1.8388858143949114
50,0.0,Two-nuisance adjusted associative latent model,True,26,3,-3603.5024055494428,0.47084303386627474,1.8351689673586442
50,0.0,Two-path biologically constrained latent SCM,True,28,3,-3606.845745993811,0.48682730400995916,1.8077922546142398
50,0.0,Two-path latent SCM (counterfactual query),True,28,3,-3606.845745993811,0.48682730400995916,1.8077922546142398
51,0.0,Associative latent class model,True,15,0,-4010.9349536300897,0.4928928576651586,2.268590629467037
51,0.0,Renal-adjusted associative latent class model,True,20,3,-3634.9038976110223,0.49705760232327073,2.227516071617371
51,0.0,Two-nuisance adjusted associative latent model,True,21,1,-3634.7594053246867,0.4968784352847434,2.2241999295463444
