renal_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Associative latent class model,accuracy,500,0.820842,0.013794840747994317,0.0006169240330259867,0.8196299112203072,0.8220540887796928,0.794,0.847525
0.0,Associative latent class model,adjusted_rand_index,500,0.41192911199712207,0.035361252164905495,0.0015814032722048057,0.4088220825092172,0.41503614148502693,0.34507694546139156,0.48257577083150877
0.0,Associative latent class model,false_atrial_renal_competing,500,0.17786141593853447,0.05749637133342006,0.0025713158952219493,0.17280947602567814,0.1829133558513908,0.08441542118012707,0.3083928571428571
0.0,Associative latent class model,brier_score,500,0.12595383821621894,0.007747518523582776,0.00034647956151339786,0.12527309963833705,0.12663457679410084,0.11063425416036482,0.14191548551974098
0.0,Associative latent class model,expected_calibration_error,500,0.04318825519473209,0.01892187800604952,0.0008462121096696981,0.04152567739185436,0.04485083299760983,0.020153251715599844,0.09180229902159512
0.0,Associative latent class model,mean_posterior_entropy,500,0.37279871765668765,0.018425246122107258,0.0008240020566239243,0.3711797765978043,0.374417658715571,0.33915356991398515,0.40974921256291885
0.0,Associative latent class model,predicted_atrial_prevalence,500,0.498314,0.043708858743569716,0.0019547195873911584,0.4944735049755133,0.5021544950244867,0.412475,0.592525
0.0,Renal-adjusted associative latent class model,accuracy,500,0.816722,0.015699735009187785,0.0007021134941855435,0.8153425369821645,0.8181014630178354,0.781,0.844525
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,500,0.4016356034777701,0.0392523571166781,0.0017554187757997974,0.39818668061546464,0.4050845263400756,0.31516477035852075,0.47426528989139105
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,500,0.1876018285349494,0.09849670674654912,0.004404906636902919,0.1789473790008696,0.19625627806902918,0.037402052238805966,0.4121959026888603
0.0,Renal-adjusted associative latent class model,brier_score,500,0.12884009790738862,0.009722506975237388,0.00043480373016693325,0.1279858262394186,0.12969436957535865,0.11250475803427602,0.15044377127833855
0.0,Renal-adjusted associative latent class model,expected_calibration_error,500,0.04521459719259742,0.019008985420255677,0.000850107671659882,0.04354436566458316,0.04688482872061168,0.020475791566275495,0.09282500027936487
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy,500,0.3687933718278059,0.018244550374855527,0.0008159210971419245,0.36719030766752425,0.3703964359880876,0.33049806232947593,0.402769647873896
0.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,500,0.498194,0.04352448881092696,0.0019464743133432332,0.49436970470777203,0.502018295292228,0.4199,0.5905749999999999
0.0,Biologically constrained latent SCM,accuracy,500,0.8202919999999999,0.013531035209016884,0.0006051262906660965,0.8191030905914689,0.8214809094085309,0.792,0.846
0.0,Biologically constrained latent SCM,adjusted_rand_index,500,0.4104881208462873,0.03458694534699413,0.0015467752185989783,0.4074491261130545,0.41352711557952004,0.3403798388179447,0.4783390496088205
0.0,Biologically constrained latent SCM,false_atrial_renal_competing,500,0.1782602194449772,0.06286523206790763,0.0028114186465028226,0.17273654259982232,0.18378389629013206,0.07046542072950523,0.32288800220143093
0.0,Biologically constrained latent SCM,brier_score,500,0.12640859407072164,0.007757255932208348,0.0003469150316656273,0.12572699991183275,0.12709018822961052,0.11112376963774849,0.1421209378546061
0.0,Biologically constrained latent SCM,expected_calibration_error,500,0.04368734140428384,0.019172658212889316,0.0008574273414678028,0.04200272870586563,0.04537195410270205,0.020258993680589248,0.09335758307322754
0.0,Biologically constrained latent SCM,mean_posterior_entropy,500,0.3718908037351072,0.018371095639823847,0.0008215803734359223,0.37027662062835903,0.37350498684185535,0.3354702812825191,0.40879668442272393
0.0,Biologically constrained latent SCM,predicted_atrial_prevalence,500,0.4978720000000001,0.04446488353448676,0.00198853004389447,0.4939650765778986,0.5017789234221015,0.413,0.58805
0.0,Data-generating oracle (reference),accuracy,500,0.8274559999999999,0.012221734967312218,0.0005465726037979258,0.8263821327410095,0.8285298672589902,0.803475,0.851
0.0,Data-generating oracle (reference),adjusted_rand_index,500,0.42893452832515244,0.03204509061702485,0.001433100019296165,0.42611887459701625,0.43175018205328863,0.36775734348049854,0.4922959474691587
0.0,Data-generating oracle (reference),false_atrial_renal_competing,500,0.17366525504376967,0.031132995181269774,0.001392309871369852,0.17092974291812707,0.17640076716941228,0.11378571428571428,0.23545358570243569
0.0,Data-generating oracle (reference),brier_score,500,0.12151841810762853,0.0064393867560361305,0.0002879781303981728,0.12095261901087356,0.1220842172043835,0.10826689799692475,0.13387227783979658
0.0,Data-generating oracle (reference),expected_calibration_error,500,0.027791247088910103,0.0064326520019553765,0.0002876769430394466,0.027226039743811017,0.02835645443400919,0.016293098787404862,0.04043299232818077
0.0,Data-generating oracle (reference),mean_posterior_entropy,500,0.3818351453875611,0.006989651354720479,0.0003125867113635697,0.3812209970885129,0.38244929368660924,0.3693379923180889,0.39550843173956296
0.0,Data-generating oracle (reference),predicted_atrial_prevalence,500,0.500036,0.015329994176218272,0.0006855781814539989,0.49868902439707746,0.5013829756029226,0.472,0.530525
0.5,Associative latent class model,accuracy,500,0.806336,0.015546526717758252,0.0006952618110984827,0.8049699986853035,0.8077020013146966,0.771,0.833525
0.5,Associative latent class model,adjusted_rand_index,500,0.3757055604449814,0.03768362873004895,0.0016852631095850704,0.37239447448203233,0.3790166464079304,0.29304874008746834,0.44440425983160026
