strength_index,renal_effect_sd,method,metric,n_repeats,mean,sd_across_repeats,monte_carlo_se,ci_low,ci_high,repeat_q025,repeat_q975,mean_denominator
0,0.0,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,500,0.13403282818747683,0.029164304890951644,0.0013042673650539493,0.13147029576164931,0.13659536061330435,0.08017019450800915,0.19477484340612827,179.578
0,0.0,Associative logistic regression (+ kidney status),true_mechanism_accuracy,500,0.81156,0.013047562138403869,0.0005835047176424714,0.8104135711314678,0.8127064288685321,0.78495,0.836,1000.0
0,0.0,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,500,0.17216402295731875,0.029140982062754728,0.0013032243364684323,0.16960353980040882,0.17472450611422868,0.11392230544297953,0.2281724441258878,179.578
0,0.0,Associative logistic regression (biomarkers only),true_mechanism_accuracy,500,0.8104199999999999,0.012932985898410937,0.0005783807124178609,0.8092836384151322,0.8115563615848677,0.784475,0.833525,1000.0
0,0.0,Structural causal model (counterfactual),false_atrial_confounded_competing,500,0.1340565818292731,0.02864753089050136,0.0012811565291737225,0.13153945594194974,0.13657370771659647,0.07830310880829015,0.19428337428337428,179.578
0,0.0,Structural causal model (counterfactual),true_mechanism_accuracy,500,0.8117380000000001,0.013078664263518457,0.0005848956469624899,0.8105888383317521,0.812887161668248,0.784,0.836,1000.0
1,0.75,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,500,0.1357034642813454,0.027886065084746885,0.0012471027430895492,0.133253244868416,0.13815368369427478,0.08695820161573586,0.19187597194917982,179.242
1,0.75,Associative logistic regression (+ kidney status),true_mechanism_accuracy,500,0.8112820000000001,0.012460055455892924,0.0005572306200558742,0.810187192623218,0.8123768073767821,0.788,0.836,1000.0
1,0.75,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,500,0.2692995576243113,0.03471490666502566,0.001552497822711158,0.26624931952258635,0.27234979572603624,0.20798932906931208,0.3362601951063489,179.242
1,0.75,Associative logistic regression (biomarkers only),true_mechanism_accuracy,500,0.7987219999999999,0.012947122149106626,0.0005790129047679117,0.7975843963282413,0.7998596036717586,0.774475,0.825525,1000.0
1,0.75,Structural causal model (counterfactual),false_atrial_confounded_competing,500,0.13536964497433907,0.02797142876922898,0.0012509203231157854,0.1329119250497297,0.13782736489894842,0.08657154673283705,0.18972067039106144,179.242
1,0.75,Structural causal model (counterfactual),true_mechanism_accuracy,500,0.811338,0.012493355187766597,0.0005587198293379151,0.8102402667299722,0.8124357332700278,0.78695,0.836,1000.0
2,1.5,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,500,0.13546604047677266,0.02802770017028331,0.0012534368566747183,0.13300337624471664,0.13792870470882868,0.08305467091295117,0.1914227795861427,179.54
2,1.5,Associative logistic regression (+ kidney status),true_mechanism_accuracy,500,0.8108920000000001,0.012604844314802143,0.000563705774673987,0.8097844706966286,0.8119995293033715,0.789,0.836,1000.0
2,1.5,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,500,0.3410115143794206,0.03691944657553158,0.0016510878446912088,0.33776757356385334,0.3442554551949879,0.27246231155778894,0.4117602297200287,179.54
2,1.5,Associative logistic regression (biomarkers only),true_mechanism_accuracy,500,0.781446,0.013015909949890079,0.000582089188739402,0.7803023522627075,0.7825896477372924,0.756475,0.805525,1000.0
2,1.5,Structural causal model (counterfactual),false_atrial_confounded_competing,500,0.13508216233463766,0.028154994292322315,0.0012591296228750255,0.1326083133575119,0.13755601131176343,0.08285576514433293,0.19081622383252816,179.54
2,1.5,Structural causal model (counterfactual),true_mechanism_accuracy,500,0.8109400000000001,0.012552590771236806,0.0005613689251644402,0.8098370619735423,0.8120429380264579,0.788,0.836525,1000.0
3,2.25,Associative logistic regression (+ kidney status),false_atrial_confounded_competing,500,0.1355189392542545,0.02832015797324775,0.0012665159672342926,0.13303057810927413,0.1380073003992349,0.07899054752987338,0.19140762592462132,179.256
3,2.25,Associative logistic regression (+ kidney status),true_mechanism_accuracy,500,0.811608,0.011580092100934752,0.0005178774624679692,0.810590510928559,0.8126254890714409,0.789475,0.833525,1000.0
3,2.25,Associative logistic regression (biomarkers only),false_atrial_confounded_competing,500,0.37028005044966245,0.038322299652250244,0.001713825341530962,0.3669128474301371,0.3736472534691878,0.29632338056680163,0.4482455589730713,179.256
3,2.25,Associative logistic regression (biomarkers only),true_mechanism_accuracy,500,0.767244,0.013534949342624638,0.0006053013360424956,0.7660547466746732,0.7684332533253269,0.742,0.79305,1000.0
3,2.25,Structural causal model (counterfactual),false_atrial_confounded_competing,500,0.13505393600717253,0.027757155138037226,0.001241337715013176,0.13261504331434468,0.13749282870000037,0.07936507936507936,0.1891916070266753,179.256
3,2.25,Structural causal model (counterfactual),true_mechanism_accuracy,500,0.8116579999999999,0.011494053354889618,0.000514029692770854,0.8106480707547726,0.8126679292452271,0.789,0.834,1000.0
