repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
7,3,Strong shift,Modular causal latent SCM,0.771,0.29306752758066806,0.2972027972027972,0.15360865368193732,0.03034679246396,0.45756097520818356,0.566,286,0.819371727748691,0.7411003236245954,0.7278688524590164,0.274,0.021
7,3,Strong shift,Target oracle (reference),0.778,0.30844424238286444,0.2202797202797203,0.15245548953008606,0.033946372457837756,0.46042478591886427,0.513,286,0.806282722513089,0.7605177993527508,0.7442622950819672,0.274,0.021
8,0,No shift,Pooled associative latent class model,0.827,0.4271429601413325,0.2932330827067669,0.12461738354276901,0.028882517760573736,0.40358958526384286,0.502,133,0.8367593712212817,0.7803468208092486,0.7818181818181819,0.060333333333333336,0.0
8,0,No shift,Target-calibrated associative latent model,0.809,0.3813054933088954,0.15037593984962405,0.1326135739125778,0.02627233185689555,0.39286467889274446,0.522,133,0.814993954050786,0.7803468208092486,0.7636363636363637,0.060333333333333336,0.0
8,0,No shift,Frozen causal latent SCM,0.812,0.3887646052214623,0.18796992481203006,0.12387009187393161,0.031243605215690442,0.395167153763499,0.507,133,0.8186215235792019,0.7803468208092486,0.8,0.060333333333333336,0.0
8,0,No shift,Modular causal latent SCM,0.816,0.3988226908868238,0.14285714285714285,0.12598469279755092,0.021606022626319242,0.3961300999473055,0.509,133,0.8234582829504232,0.7803468208092486,0.8,0.060333333333333336,0.0
8,0,No shift,Target oracle (reference),0.809,0.38130515586647273,0.19548872180451127,0.12452719109611486,0.031127748700968516,0.38449375001418296,0.508,133,0.814993954050786,0.7803468208092486,0.8,0.060333333333333336,0.0
8,1,Mild shift,Pooled associative latent class model,0.807,0.3763728048267799,0.3384615384615385,0.13485358018172727,0.017474619506075997,0.41504727312166806,0.528,195,0.8228021978021978,0.7647058823529411,0.7352941176470589,0.09666666666666666,0.0
8,1,Mild shift,Target-calibrated associative latent model,0.806,0.3739179496259935,0.14358974358974358,0.13416000639710512,0.026851149265456262,0.3994765828134597,0.517,195,0.8159340659340659,0.7794117647058824,0.7549019607843137,0.09666666666666666,0.0
8,1,Mild shift,Frozen causal latent SCM,0.813,0.39126752496944966,0.20512820512820512,0.12695782202737893,0.034133367513724096,0.4042728262020625,0.524,195,0.8228021978021978,0.7867647058823529,0.7647058823529411,0.09666666666666666,0.0
