repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
20,0.0,Renal-adjusted associative latent class model,True,17,1,-3657.632152710441,0.48125023991236415,2.031550259056705
20,0.0,Biologically constrained latent SCM,True,17,1,-3658.336990278431,0.4807970930506318,2.02750632307786
21,0.0,Associative latent class model,True,38,2,-4107.712851964905,0.4357731998877178,2.2303500024780996
21,0.0,Renal-adjusted associative latent class model,True,26,0,-3600.4907211865725,0.44900481705650946,2.244341541524652
21,0.0,Biologically constrained latent SCM,True,38,2,-3601.915817386279,0.4361309992572704,2.238020646364919
22,0.0,Associative latent class model,True,17,0,-4176.249307224988,0.4911065799059483,1.9646763752206997
22,0.0,Renal-adjusted associative latent class model,True,20,1,-3677.269993572893,0.49509190516094476,1.9550241474784662
22,0.0,Biologically constrained latent SCM,True,17,0,-3678.594066694768,0.4910766282434563,1.9648398179319535
23,0.0,Associative latent class model,True,39,2,-4139.559317748042,0.42779599565424786,1.9784158034711872
23,0.0,Renal-adjusted associative latent class model,True,40,3,-3644.0885757974947,0.43993647166034583,1.9824725317183756
23,0.0,Biologically constrained latent SCM,True,38,2,-3645.043173606213,0.42887834728935387,1.9726354602787657
24,0.0,Associative latent class model,True,20,0,-4171.370016922693,0.469012208523094,2.0791170489735276
24,0.0,Renal-adjusted associative latent class model,True,21,0,-3705.6014026136,0.46060602434574816,2.106633888346601
24,0.0,Biologically constrained latent SCM,True,21,0,-3705.605306156274,0.45973059994236776,2.1089568911273524
25,0.0,Associative latent class model,True,22,3,-4132.996621783122,0.4559455111682964,2.2058537271729506
25,0.0,Renal-adjusted associative latent class model,True,20,3,-3627.574771278708,0.45691508513638995,2.202193221515715
25,0.0,Biologically constrained latent SCM,True,34,2,-3627.7347223326265,0.4484914147671137,2.2058045529335892
26,0.0,Associative latent class model,True,9,1,-4166.094494863935,0.48592033770001747,1.919175217245761
26,0.0,Renal-adjusted associative latent class model,True,35,3,-3699.6919702801633,0.48338241697331713,1.9575245543642539
26,0.0,Biologically constrained latent SCM,True,10,1,-3702.1064079458797,0.48644682176650156,1.9308998872563214
27,0.0,Associative latent class model,True,15,0,-4098.7974543016535,0.48969320695426005,1.9013974660073076
27,0.0,Renal-adjusted associative latent class model,True,23,3,-3610.530058900077,0.4947639797375299,1.9186232423785605
27,0.0,Biologically constrained latent SCM,True,16,0,-3611.328283084495,0.4896726504189739,1.9021445179557062
28,0.0,Associative latent class model,True,22,0,-4248.93017506461,0.49571019629255003,1.8478747300934906
28,0.0,Renal-adjusted associative latent class model,True,27,1,-3745.5072965845466,0.4911964301784197,1.820914029774344
28,0.0,Biologically constrained latent SCM,True,22,0,-3745.827819374643,0.49692652249540026,1.851995823544097
29,0.0,Associative latent class model,True,14,0,-4187.004854050743,0.4995997088511403,2.0705151890960347
29,0.0,Renal-adjusted associative latent class model,True,17,1,-3699.983229107494,0.4974063340672209,2.0307584337327635
