renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0.0,Associative latent class model,accuracy,0.820842,0.8196299112203072,0.8220540887796928,0.0006169240330259867,500
0.0,Associative latent class model,adjusted_rand_index,0.41192911199712207,0.4088220825092172,0.41503614148502693,0.0015814032722048057,500
0.0,Associative latent class model,false_atrial_renal_competing,0.17786141593853447,0.17280947602567814,0.1829133558513908,0.0025713158952219493,500
0.0,Associative latent class model,brier_score,0.12595383821621894,0.12527309963833705,0.12663457679410084,0.0003464795615133973,500
0.0,Associative latent class model,expected_calibration_error,0.043188255194732086,0.04152567739185436,0.044850832997609814,0.0008462121096696972,500
0.0,Associative latent class model,mean_posterior_entropy,0.3727987176566877,0.3711797765978044,0.37441765871557103,0.0008240020566239245,500
0.0,Associative latent class model,predicted_atrial_prevalence,0.498314,0.4944735049755133,0.5021544950244867,0.0019547195873911584,500
0.0,Renal-adjusted associative latent class model,accuracy,0.816722,0.8153425369821645,0.8181014630178354,0.0007021134941855435,500
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,0.4016356034777701,0.39818668061546464,0.4050845263400756,0.0017554187757997974,500
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1876018285349494,0.1789473790008696,0.19625627806902918,0.004404906636902919,500
0.0,Renal-adjusted associative latent class model,brier_score,0.12884009790738862,0.12798582623941857,0.12969436957535868,0.00043480373016693347,500
0.0,Renal-adjusted associative latent class model,expected_calibration_error,0.045214597192597406,0.04354436566458315,0.046884828720611664,0.0008501076716598814,500
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3687933718278059,0.36719030766752425,0.3703964359880876,0.000815921097141925,500
0.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.498194,0.49436970470777203,0.502018295292228,0.0019464743133432332,500
0.0,Biologically constrained latent SCM,accuracy,0.8202919999999999,0.8191030905914689,0.8214809094085309,0.0006051262906660965,500
0.0,Biologically constrained latent SCM,adjusted_rand_index,0.4104881208462873,0.4074491261130545,0.41352711557952004,0.0015467752185989783,500
0.0,Biologically constrained latent SCM,false_atrial_renal_competing,0.1782602194449772,0.17273654259982232,0.18378389629013206,0.0028114186465028226,500
0.0,Biologically constrained latent SCM,brier_score,0.12640859407072164,0.12572699991183275,0.12709018822961052,0.0003469150316656271,500
0.0,Biologically constrained latent SCM,expected_calibration_error,0.04368734140428384,0.04200272870586563,0.04537195410270205,0.0008574273414678024,500
0.0,Biologically constrained latent SCM,mean_posterior_entropy,0.3718908037351072,0.37027662062835903,0.37350498684185535,0.0008215803734359223,500
0.0,Biologically constrained latent SCM,predicted_atrial_prevalence,0.4978720000000001,0.4939650765778986,0.5017789234221015,0.00198853004389447,500
0.0,Data-generating oracle (reference),accuracy,0.8274559999999999,0.8263821327410095,0.8285298672589902,0.0005465726037979258,500
0.0,Data-generating oracle (reference),adjusted_rand_index,0.42893452832515244,0.42611887459701625,0.43175018205328863,0.001433100019296165,500
0.0,Data-generating oracle (reference),false_atrial_renal_competing,0.17366525504376967,0.17092974291812707,0.17640076716941228,0.001392309871369852,500
0.0,Data-generating oracle (reference),brier_score,0.12151841810762853,0.12095261901087356,0.1220842172043835,0.0002879781303981728,500
0.0,Data-generating oracle (reference),expected_calibration_error,0.027791247088910103,0.027226039743811017,0.02835645443400919,0.0002876769430394466,500
