shift_index,shift,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0,No shift,Pooled associative latent class model,accuracy,500,0.802342,0.013152147884964471,0.0005881819344182128,0.8011863816662006,0.8034976183337994,0.77295,0.826525
0,No shift,Pooled associative latent class model,adjusted_rand_index,500,0.3656984633452805,0.03168861561258962,0.0014171579724522306,0.3629141314251311,0.3684827952654299,0.29731764035998953,0.42590124200592505
0,No shift,Pooled associative latent class model,false_atrial_renal_competing,500,0.3094053599073783,0.059402619164195876,0.0026565658898534744,0.30418592682448786,0.3146247929902687,0.20430194805194807,0.4321008403361343
0,No shift,Pooled associative latent class model,brier_score,500,0.1372560655414951,0.006893527652463677,0.00030828792871366654,0.13665036318706467,0.13786176789592555,0.12490543374369317,0.15126539515625467
0,No shift,Pooled associative latent class model,expected_calibration_error,500,0.03766764734195133,0.013934462172638443,0.0006231680929583794,0.03644329067419026,0.03889200400971239,0.020411933461807044,0.0750702371761025
0,No shift,Pooled associative latent class model,mean_posterior_entropy,500,0.41772663968930235,0.015580660463415214,0.0006967883186107958,0.41635763920043084,0.41909564017817386,0.3878756451448549,0.44700000631163855
0,No shift,Pooled associative latent class model,predicted_atrial_prevalence,500,0.49851999999999996,0.03798525185802294,0.0016987521059397897,0.4951824118094579,0.501857588190542,0.41995,0.570525
0,No shift,Pooled associative latent class model,accuracy_complete_case,500,0.8105934270281091,0.013914150433438941,0.0006222597243665526,0.8093708550588182,0.8118159989974,0.7778418284789644,0.8368224034577684
0,No shift,Pooled associative latent class model,accuracy_any_missing,500,0.7576726085362097,0.03508366427863768,0.0015689891645362995,0.754589969410504,0.7607552476619153,0.6910357070399675,0.8272712201591511
0,No shift,Pooled associative latent class model,accuracy_electrical_missing,500,0.7546721632664328,0.060892895359255836,0.0027232130674015504,0.7493217865149874,0.7600225400178783,0.6382978723404256,0.8707357859531772
0,No shift,Pooled associative latent class model,biomarker_missing_fraction,500,0.054818666666666675,0.004391344698491155,0.0001963869051691908,0.054432819542075656,0.055204513791257695,0.04666666666666667,0.063
0,No shift,Pooled associative latent class model,all_biomarkers_missing_rate,500,0.00020400000000000003,0.00044584926054245345,1.9938985085818812e-05,0.0001648252899754271,0.00024317471002457296,0.0,0.001
0,No shift,Target-calibrated associative latent model,accuracy,500,0.81222,0.013044382385672633,0.0005833625147772976,0.8110738505216166,0.8133661494783835,0.786,0.835
0,No shift,Target-calibrated associative latent model,adjusted_rand_index,500,0.3899938775887041,0.03241676912874215,0.0014497219876556814,0.3871455661907959,0.3928421889866123,0.3265102320055963,0.4483482184672781
0,No shift,Target-calibrated associative latent model,false_atrial_renal_competing,500,0.18648433569672704,0.07814731223160067,0.0034948540481751973,0.179617893231065,0.19335077816238908,0.06137362637362637,0.37292149684767123
0,No shift,Target-calibrated associative latent model,brier_score,500,0.13093235524770505,0.007458596489568915,0.0003335585753483479,0.13027700291110217,0.13158770758430793,0.11761118565421905,0.14511146403784272
0,No shift,Target-calibrated associative latent model,expected_calibration_error,500,0.0406287881057243,0.015890518037403562,0.0007106455705864182,0.03923256186661797,0.042025014344830636,0.02001375726387891,0.07725066285572735
0,No shift,Target-calibrated associative latent model,mean_posterior_entropy,500,0.3909814622151349,0.014836705762906164,0.0006635176529604212,0.3896778295809244,0.39228509484934543,0.3633526085553188,0.4192832058450297
0,No shift,Target-calibrated associative latent model,predicted_atrial_prevalence,500,0.500474,0.04305862764684518,0.0019256403687239524,0.4966906377710957,0.5042573622289043,0.411475,0.58605
0,No shift,Target-calibrated associative latent model,accuracy_complete_case,500,0.8205669183182143,0.013953954363105748,0.0006240398102166847,0.8193408489619352,0.8217929876744934,0.7918403347554972,0.8468394471026051
0,No shift,Target-calibrated associative latent model,accuracy_any_missing,500,0.7670112004542136,0.034436013006692516,0.0015400253191406278,0.7639854674468328,0.7700369334615943,0.7014735772357723,0.8308506944444445
0,No shift,Target-calibrated associative latent model,accuracy_electrical_missing,500,0.7690391482318303,0.05885816083415357,0.002632216973115662,0.7638675541812934,0.7742107422823672,0.6492424242424243,0.8780487804878049
0,No shift,Target-calibrated associative latent model,biomarker_missing_fraction,500,0.054818666666666675,0.004391344698491155,0.0001963869051691908,0.054432819542075656,0.055204513791257695,0.04666666666666667,0.063
