repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
0,0,No shift,Pooled associative latent class model,0.788,0.3311019958735718,0.36507936507936506,0.14262040499447326,0.03436385500157253,0.42773533611164216,0.539,126,0.7980884109916367,0.7361963190184049,0.8679245283018868,0.057666666666666665,0.0
0,0,No shift,Target-calibrated associative latent model,0.798,0.35453940610863394,0.20634920634920634,0.1461852370193483,0.053522807657518975,0.4030107177214603,0.591,126,0.7980884109916367,0.7975460122699386,0.8679245283018868,0.057666666666666665,0.0
0,0,No shift,Frozen causal latent SCM,0.809,0.38129372224266944,0.21428571428571427,0.13896119449444458,0.03353552815342323,0.40772092492472667,0.558,126,0.8136200716845878,0.7852760736196319,0.8679245283018868,0.057666666666666665,0.0
0,0,No shift,Modular causal latent SCM,0.803,0.3665766843174313,0.24603174603174602,0.1415959561279722,0.04506845068745817,0.4049950422918389,0.584,126,0.8052568697729988,0.7914110429447853,0.8679245283018868,0.057666666666666665,0.0
0,0,No shift,Target oracle (reference),0.793,0.342739473710695,0.1349206349206349,0.13937777090686415,0.0341469655949963,0.4132949468191822,0.492,126,0.8040621266427718,0.7361963190184049,0.8113207547169812,0.057666666666666665,0.0
0,1,Mild shift,Pooled associative latent class model,0.792,0.34038358345948444,0.37142857142857144,0.14772995849331222,0.04716870359233261,0.4316421482620497,0.559,175,0.8067567567567567,0.75,0.7745098039215687,0.09566666666666666,0.0
0,1,Mild shift,Target-calibrated associative latent model,0.787,0.3287799871758914,0.18857142857142858,0.15037686570419193,0.04842557202561609,0.41128676458390534,0.58,175,0.7945945945945946,0.7653846153846153,0.7941176470588235,0.09566666666666666,0.0
0,1,Mild shift,Frozen causal latent SCM,0.802,0.36415847111951277,0.2742857142857143,0.14045482400572984,0.04297060722026584,0.4148079603495533,0.577,175,0.8162162162162162,0.7615384615384615,0.803921568627451,0.09566666666666666,0.0
0,1,Mild shift,Modular causal latent SCM,0.804,0.36901795396818454,0.17142857142857143,0.14347635938546688,0.037825225684451916,0.4149397857213774,0.565,175,0.8148648648648649,0.7730769230769231,0.8235294117647058,0.09566666666666666,0.0
0,1,Mild shift,Target oracle (reference),0.795,0.3474481771539651,0.13142857142857142,0.14073008777028878,0.03561339427988784,0.4217054602679611,0.492,175,0.8094594594594594,0.7538461538461538,0.7941176470588235,0.09566666666666666,0.0
0,2,Moderate shift,Pooled associative latent class model,0.767,0.2844096973351559,0.43891402714932126,0.16333029297142404,0.056869990843378,0.434229360634293,0.586,221,0.7852233676975945,0.7416267942583732,0.7417582417582418,0.16366666666666665,0.001
0,2,Moderate shift,Target-calibrated associative latent model,0.779,0.3106576580204458,0.19909502262443438,0.1546485651727138,0.040210082202981966,0.43103355879930916,0.566,221,0.7955326460481099,0.7559808612440191,0.7692307692307693,0.16366666666666665,0.001
0,2,Moderate shift,Frozen causal latent SCM,0.782,0.3173691929350003,0.37104072398190047,0.15301440372128103,0.05767926977893825,0.4241925838798373,0.605,221,0.802405498281787,0.7535885167464115,0.7417582417582418,0.16366666666666665,0.001
0,2,Moderate shift,Modular causal latent SCM,0.797,0.3521666656025041,0.2171945701357466,0.15137554042380974,0.048820418430726056,0.4309397217143047,0.576,221,0.8127147766323024,0.7751196172248804,0.7747252747252747,0.16366666666666665,0.001
0,2,Moderate shift,Target oracle (reference),0.785,0.3242251749125045,0.17194570135746606,0.14849444307123327,0.03994906946763907,0.4377636228550874,0.496,221,0.8058419243986255,0.7559808612440191,0.7747252747252747,0.16366666666666665,0.001
0,3,Strong shift,Pooled associative latent class model,0.711,0.17715413969970614,0.56,0.19256158006862978,0.09379270220290477,0.44882452837758796,0.648,300,0.7142857142857143,0.7090032154340836,0.7114754098360656,0.275,0.016
0,3,Strong shift,Target-calibrated associative latent model,0.76,0.26963753228963994,0.37333333333333335,0.16663163212196733,0.04708088424631304,0.45964464058733134,0.587,300,0.7751322751322751,0.7508038585209004,0.7573770491803279,0.275,0.016
0,3,Strong shift,Frozen causal latent SCM,0.756,0.2613052553743771,0.4666666666666667,0.17198635424846945,0.08736763037773146,0.4437571296520357,0.651,300,0.7592592592592593,0.7540192926045016,0.7475409836065574,0.275,0.016
0,3,Strong shift,Modular causal latent SCM,0.785,0.32419657183831235,0.3233333333333333,0.15871781133463878,0.050951943033561285,0.45915690818169275,0.584,300,0.8042328042328042,0.7733118971061094,0.7770491803278688,0.275,0.016
0,3,Strong shift,Target oracle (reference),0.774,0.2996045510313678,0.21333333333333335,0.15510797770175078,0.03712470189584248,0.46604202255471816,0.495,300,0.8015873015873016,0.7572347266881029,0.7672131147540984,0.275,0.016
1,0,No shift,Pooled associative latent class model,0.797,0.352187603989218,0.31543624161073824,0.13764392271737255,0.025395541963764128,0.42321982398477054,0.505,149,0.8035294117647059,0.76,0.7619047619047619,0.051333333333333335,0.0
1,0,No shift,Target-calibrated associative latent model,0.807,0.37637230988469045,0.2953020134228188,0.12803601687940763,0.031562917908773545,0.3986181472219214,0.515,149,0.8105882352941176,0.7866666666666666,0.8095238095238095,0.051333333333333335,0.0
1,0,No shift,Frozen causal latent SCM,0.814,0.39377752022459755,0.18120805369127516,0.12469749210768631,0.025377571030844245,0.4003621735830051,0.488,149,0.8176470588235294,0.7933333333333333,0.8095238095238095,0.051333333333333335,0.0
1,0,No shift,Modular causal latent SCM,0.811,0.3862696577704623,0.21476510067114093,0.1251014133724146,0.0285499273088078,0.40001679182827093,0.501,149,0.8141176470588235,0.7933333333333333,0.8095238095238095,0.051333333333333335,0.0
1,0,No shift,Target oracle (reference),0.824,0.4193227787207837,0.18791946308724833,0.12494344915551271,0.029508743418016188,0.39713057013993786,0.496,149,0.8305882352941176,0.7866666666666666,0.7857142857142857,0.051333333333333335,0.0
1,1,Mild shift,Pooled associative latent class model,0.791,0.33806216553119905,0.3492063492063492,0.14330931638291677,0.028954556255472788,0.4269146294847765,0.517,189,0.7971204188481675,0.7711864406779662,0.8024691358024691,0.08433333333333333,0.0
1,1,Mild shift,Target-calibrated associative latent model,0.797,0.3521897226791312,0.32275132275132273,0.1360630121543273,0.026390004821793808,0.40547881789552115,0.529,189,0.806282722513089,0.7669491525423728,0.7407407407407407,0.08433333333333333,0.0
1,1,Mild shift,Frozen causal latent SCM,0.808,0.37883446138899346,0.2275132275132275,0.13023110207459987,0.01887234291689648,0.40937981776718657,0.51,189,0.8206806282722513,0.7669491525423728,0.7407407407407407,0.08433333333333333,0.0
1,1,Mild shift,Modular causal latent SCM,0.802,0.36417991005247674,0.25396825396825395,0.13115402415716648,0.02427636339420423,0.4090035377959099,0.512,189,0.8167539267015707,0.7542372881355932,0.7530864197530864,0.08433333333333333,0.0
1,1,Mild shift,Target oracle (reference),0.816,0.39882230718395567,0.17989417989417988,0.12972474969127967,0.037410538068980495,0.40662834384520335,0.494,189,0.831151832460733,0.7669491525423728,0.7530864197530864,0.08433333333333333,0.0
1,2,Moderate shift,Pooled associative latent class model,0.771,0.29306260771422665,0.4322033898305085,0.15620336691615697,0.04590384168667011,0.44271346677013174,0.547,236,0.7912457912457912,0.7413793103448276,0.75,0.162,0.006
1,2,Moderate shift,Target-calibrated associative latent model,0.791,0.33806305695627015,0.3093220338983051,0.13990321829751798,0.02229508739393691,0.43057037390250463,0.525,236,0.8114478114478114,0.7610837438423645,0.75,0.162,0.006
1,2,Moderate shift,Frozen causal latent SCM,0.797,0.35219148824347246,0.3135593220338983,0.1398942803013621,0.030266958315926316,0.4296212578775832,0.539,236,0.8164983164983165,0.7684729064039408,0.74375,0.162,0.006
1,2,Moderate shift,Modular causal latent SCM,0.801,0.3617651492750046,0.24152542372881355,0.13748440246478139,0.022742772515576683,0.4330553490909413,0.503,236,0.8164983164983165,0.7783251231527094,0.7625,0.162,0.006
1,2,Moderate shift,Target oracle (reference),0.812,0.3887641621039814,0.2076271186440678,0.1373391005338548,0.04024769297732696,0.43089003822252403,0.502,236,0.8282828282828283,0.7881773399014779,0.76875,0.162,0.006
1,3,Strong shift,Pooled associative latent class model,0.753,0.2553091728074248,0.40192926045016075,0.16914043092572975,0.06325429180025799,0.45220432066714566,0.579,311,0.7718446601941747,0.7397959183673469,0.7022058823529411,0.26166666666666666,0.025
1,3,Strong shift,Target-calibrated associative latent model,0.756,0.26142267536850927,0.12540192926045016,0.1640221039120804,0.07444032266074128,0.44592073223802653,0.422,311,0.7888349514563107,0.7329931972789115,0.6911764705882353,0.26166666666666666,0.025
1,3,Strong shift,Frozen causal latent SCM,0.783,0.31969288374745386,0.33440514469453375,0.15287118769744398,0.05072857566208398,0.4491889995716903,0.581,311,0.8228155339805825,0.7551020408163265,0.7169117647058824,0.26166666666666666,0.025
1,3,Strong shift,Modular causal latent SCM,0.776,0.3040098212070577,0.1639871382636656,0.15223641098000126,0.03441860292194818,0.455331194517386,0.47,311,0.808252427184466,0.7534013605442177,0.7058823529411765,0.26166666666666666,0.025
1,3,Strong shift,Target oracle (reference),0.791,0.3380614651241017,0.20257234726688103,0.14832655991559213,0.036098991175727686,0.4563621087342543,0.505,311,0.8300970873786407,0.7636054421768708,0.7169117647058824,0.26166666666666666,0.025
2,0,No shift,Pooled associative latent class model,0.828,0.42976140841592403,0.3088235294117647,0.12380970318978536,0.033300390111732615,0.41321996376512277,0.525,136,0.8296382730455076,0.8181818181818182,0.8571428571428571,0.052,0.001
2,0,No shift,Target-calibrated associative latent model,0.831,0.43768436289010365,0.125,0.12214796298940729,0.04253629212091867,0.38247798624226925,0.504,136,0.8319719953325554,0.8251748251748252,0.8333333333333334,0.052,0.001
2,0,No shift,Frozen causal latent SCM,0.836,0.4510345987762982,0.13970588235294118,0.12052639777674334,0.03397310610461523,0.37855135875134366,0.517,136,0.8366394399066511,0.8321678321678322,0.8571428571428571,0.052,0.001
2,0,No shift,Modular causal latent SCM,0.836,0.45103289847921946,0.13970588235294118,0.12054102656120053,0.031102171538228002,0.37726463046877856,0.521,136,0.8366394399066511,0.8321678321678322,0.8571428571428571,0.052,0.001
2,0,No shift,Target oracle (reference),0.833,0.44299416391635804,0.14705882352941177,0.11709523012767725,0.02883403742501679,0.3876255791133351,0.526,136,0.838973162193699,0.7972027972027972,0.7619047619047619,0.052,0.001
2,1,Mild shift,Pooled associative latent class model,0.815,0.3962686166314689,0.3425414364640884,0.1312940861929494,0.028880961406583285,0.4149843778407705,0.55,181,0.828,0.776,0.782608695652174,0.093,0.002
2,1,Mild shift,Target-calibrated associative latent model,0.804,0.36899148918397434,0.08287292817679558,0.14122801127172074,0.09765730212573355,0.39263003408702607,0.441,181,0.808,0.792,0.782608695652174,0.093,0.002
