shift_index,shift,metric,contrast,mean_difference,ci95_low,ci95_high,repeat_count
2,Moderate shift,brier_score,modular causal minus comparator: Target-calibrated associative latent model,-0.0027961742169979797,-0.0031668837193976483,-0.002425464714598311,500
2,Moderate shift,expected_calibration_error,modular causal minus comparator: Target-calibrated associative latent model,-0.007477284661735403,-0.008840799858974699,-0.006113769464496108,500
2,Moderate shift,accuracy_any_missing,modular causal minus comparator: Target-calibrated associative latent model,0.002902186655065026,0.002063339464105672,0.00374103384602438,500
2,Moderate shift,accuracy,modular causal minus comparator: Frozen causal latent SCM,0.00413,0.0033835194063186786,0.004876480593681322,500
2,Moderate shift,adjusted_rand_index,modular causal minus comparator: Frozen causal latent SCM,0.00966073447023406,0.007915849217673684,0.011405619722794438,500
2,Moderate shift,false_atrial_renal_competing,modular causal minus comparator: Frozen causal latent SCM,-0.09357976976153294,-0.09735846943068553,-0.08980107009238035,500
2,Moderate shift,brier_score,modular causal minus comparator: Frozen causal latent SCM,-0.002805697243537955,-0.0031531978970111355,-0.002458196590064774,500
2,Moderate shift,expected_calibration_error,modular causal minus comparator: Frozen causal latent SCM,-0.0070631060922138654,-0.008893227070073353,-0.0052329851143543766,500
2,Moderate shift,accuracy_any_missing,modular causal minus comparator: Frozen causal latent SCM,0.0035884257311223165,0.0025877382230139754,0.0045891132392306576,500
3,Strong shift,accuracy,modular causal minus comparator: Pooled associative latent class model,0.042304000000000036,0.041052773832100625,0.04355522616789945,500
3,Strong shift,adjusted_rand_index,modular causal minus comparator: Pooled associative latent class model,0.08617151251431954,0.08363995218575242,0.08870307284288666,500
3,Strong shift,false_atrial_renal_competing,modular causal minus comparator: Pooled associative latent class model,-0.22209469015734237,-0.22748355379576396,-0.21670582651892079,500
3,Strong shift,brier_score,modular causal minus comparator: Pooled associative latent class model,-0.026134118098032167,-0.02681390050517015,-0.025454335690894184,500
3,Strong shift,expected_calibration_error,modular causal minus comparator: Pooled associative latent class model,-0.029679206045969152,-0.031838217136886886,-0.027520194955051414,500
3,Strong shift,accuracy_any_missing,modular causal minus comparator: Pooled associative latent class model,0.04016101122138931,0.0386964284107316,0.04162559403204703,500
3,Strong shift,accuracy,modular causal minus comparator: Target-calibrated associative latent model,0.004654000000000004,0.0038244627295420035,0.005483537270458003,500
3,Strong shift,adjusted_rand_index,modular causal minus comparator: Target-calibrated associative latent model,0.010039207037428948,0.00826059013048349,0.011817823944374407,500
3,Strong shift,false_atrial_renal_competing,modular causal minus comparator: Target-calibrated associative latent model,-0.008469313322186141,-0.013266607683409839,-0.003672018960962445,500
3,Strong shift,brier_score,modular causal minus comparator: Target-calibrated associative latent model,-0.003082719877591671,-0.0034977979088183734,-0.0026676418463649687,500
3,Strong shift,expected_calibration_error,modular causal minus comparator: Target-calibrated associative latent model,-0.007721947027942475,-0.009455406788648939,-0.005988487267236012,500
3,Strong shift,accuracy_any_missing,modular causal minus comparator: Target-calibrated associative latent model,0.003453633641117759,0.0026329183840550704,0.004274348898180447,500
3,Strong shift,accuracy,modular causal minus comparator: Frozen causal latent SCM,0.01421000000000001,0.013263702290508366,0.015156297709491656,500
3,Strong shift,adjusted_rand_index,modular causal minus comparator: Frozen causal latent SCM,0.03042709822919295,0.02840554353869274,0.032448652919693156,500
3,Strong shift,false_atrial_renal_competing,modular causal minus comparator: Frozen causal latent SCM,-0.14083465520117605,-0.14519352331628424,-0.13647578708606786,500
3,Strong shift,brier_score,modular causal minus comparator: Frozen causal latent SCM,-0.009302155443674678,-0.009807328859946948,-0.008796982027402409,500
3,Strong shift,expected_calibration_error,modular causal minus comparator: Frozen causal latent SCM,-0.024609604174934758,-0.02690076281318525,-0.022318445536684266,500
3,Strong shift,accuracy_any_missing,modular causal minus comparator: Frozen causal latent SCM,0.012454746879585378,0.0113657821487898,0.013543711610380956,500
