strength_index,renal_effect_sd,method,metric,n_repeats,mean,sd_across_repeats,monte_carlo_se,ci_low,ci_high,repeat_q025,repeat_q975,mean_denominator
0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,500,0.13521897572615638,0.024101038082262907,0.0010778311896050205,0.1331013291094162,0.13733662234289656,0.08907738095238095,0.1838706648303493,178.97
0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,500,0.8113879999999999,0.012234738806665792,0.0005471541531731873,0.8103129901538596,0.8124630098461402,0.787,0.835,1000.0
0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,500,0.13521897572615638,0.024101038082262907,0.0010778311896050205,0.1331013291094162,0.13733662234289656,0.08907738095238095,0.1838706648303493,178.97
0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,500,0.8113879999999999,0.012234738806665792,0.0005471541531731873,0.8103129901538596,0.8124630098461402,0.787,0.835,1000.0
0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,500,0.17253246624303592,0.0270930940584145,0.0012116400007082095,0.17015192152234818,0.17491301096372366,0.12054748149485467,0.22542338709677417,178.97
0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,500,0.810128,0.012294630204431797,0.0005498325779066327,0.8090477277740643,0.8112082722259356,0.785475,0.833525,1000.0
1,0.75,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,500,0.1363599431537618,0.025480691180825223,0.0011395311518800917,0.13412107280771696,0.13859881349980663,0.08900982469659026,0.18916978776529328,179.51
1,0.75,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,500,0.81144,0.013001402729932296,0.0005814404061395991,0.8102976269449498,0.8125823730550503,0.785,0.835525,1000.0
1,0.75,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,500,0.1363599431537618,0.025480691180825223,0.0011395311518800917,0.13412107280771696,0.13859881349980663,0.08900982469659026,0.18916978776529328,179.51
1,0.75,Posterior (same kidney-aware SCM),true_mechanism_accuracy,500,0.81144,0.013001402729932296,0.0005814404061395991,0.8102976269449498,0.8125823730550503,0.785,0.835525,1000.0
1,0.75,Posterior matching (kidney-blind),false_atrial_confounded_competing,500,0.33550163553102663,0.03795280823952015,0.0016973011832116234,0.3321668980110126,0.33883637305104064,0.2623076923076923,0.40815170351719254,179.51
1,0.75,Posterior matching (kidney-blind),true_mechanism_accuracy,500,0.7949039999999999,0.013499305407797316,0.0006037072908173063,0.7937178785421777,0.7960901214578222,0.766475,0.820525,1000.0
2,1.5,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,500,0.13624149028564442,0.024934291367183704,0.0011150954093561785,0.1340506295611269,0.13843235101016194,0.09063944530046225,0.1838799504950495,179.176
2,1.5,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,500,0.812222,0.012318287072186001,0.0005508905451952951,0.8111396491546375,0.8133043508453625,0.787475,0.836,1000.0
2,1.5,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,500,0.13624149028564442,0.024934291367183704,0.0011150954093561785,0.1340506295611269,0.13843235101016194,0.09063944530046225,0.1838799504950495,179.176
2,1.5,Posterior (same kidney-aware SCM),true_mechanism_accuracy,500,0.812222,0.012318287072186001,0.0005508905451952951,0.8111396491546375,0.8133043508453625,0.787475,0.836,1000.0
2,1.5,Posterior matching (kidney-blind),false_atrial_confounded_competing,500,0.5322793751573867,0.037134276078255056,0.001660695312124452,0.5290165582681803,0.535542192046593,0.4657608695652174,0.6124131851693557,179.176
2,1.5,Posterior matching (kidney-blind),true_mechanism_accuracy,500,0.767702,0.012535688372240757,0.0005606130269016804,0.7666005471090757,0.7688034528909243,0.744,0.791525,1000.0
3,2.25,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,500,0.13397620349197292,0.02519947955743046,0.0011269549857606165,0.13176204190912896,0.13619036507481688,0.0888198553583169,0.18206676136363634,178.822
3,2.25,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,500,0.812198,0.01241285438196287,0.0005551197238575023,0.8111073399630202,0.8132886600369797,0.787475,0.835,1000.0
3,2.25,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,500,0.13397620349197292,0.02519947955743046,0.0011269549857606165,0.13176204190912896,0.13619036507481688,0.0888198553583169,0.18206676136363634,178.822
3,2.25,Posterior (same kidney-aware SCM),true_mechanism_accuracy,500,0.812198,0.01241285438196287,0.0005551197238575023,0.8111073399630202,0.8132886600369797,0.787475,0.835,1000.0
3,2.25,Posterior matching (kidney-blind),false_atrial_confounded_competing,500,0.7236165079245158,0.03505506254624617,0.001567710056178266,0.7205363819005954,0.7266966339484362,0.6443820224719101,0.7888786574870913,178.822
3,2.25,Posterior matching (kidney-blind),true_mechanism_accuracy,500,0.7361599999999999,0.013753571225063188,0.000615078403852527,0.7349515373821891,0.7373684626178107,0.707,0.762,1000.0
