shift_index,shift,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0,Exact no shift,Pooled associative latent class model,accuracy,500,0.8024920000000001,0.012914779093661479,0.0005775664793564038,0.8013572381627593,0.8036267618372409,0.775475,0.826525
0,Exact no shift,Pooled associative latent class model,adjusted_rand_index,500,0.36603718223085685,0.031172805498131704,0.0013940902428640335,0.36329817215701277,0.36877619230470093,0.30285154662677155,0.42590095966484887
0,Exact no shift,Pooled associative latent class model,false_atrial_renal_competing,500,0.31104460786503946,0.05921671989010967,0.002648252221576982,0.3058415088905588,0.31624770683952014,0.19988766339869282,0.4366666666666666
0,Exact no shift,Pooled associative latent class model,brier_score,500,0.13719229505103417,0.006893191938570531,0.0003082729151319452,0.13658662219422898,0.13779796790783935,0.12498540249865128,0.15111089486030532
0,Exact no shift,Pooled associative latent class model,expected_calibration_error,500,0.03765766189014502,0.0140168496760497,0.0006268525741208607,0.036426066213953494,0.03888925756633655,0.018638212586666793,0.07334729099692834
0,Exact no shift,Pooled associative latent class model,mean_posterior_entropy,500,0.41519202222892115,0.015566824224903516,0.0006961695432134946,0.4138242374662591,0.4165598069915832,0.3848878070724671,0.44450859119127445
0,Exact no shift,Pooled associative latent class model,predicted_atrial_prevalence,500,0.498774,0.0379428285777558,0.0016968548791696726,0.49544013934665454,0.5021078606533455,0.424,0.574525
0,Exact no shift,Pooled associative latent class model,accuracy_complete_case,500,0.8108557824088536,0.013848678977360597,0.0006193317518390113,0.8096389631132436,0.8120726017044636,0.7810242413522175,0.837488138048147
0,Exact no shift,Pooled associative latent class model,accuracy_any_missing,500,0.7571887869829782,0.03461054228312035,0.0015478305056637572,0.7541477188962333,0.7602298550697231,0.6866744857452184,0.8279193991961075
0,Exact no shift,Pooled associative latent class model,accuracy_electrical_missing,500,0.7536173563751767,0.06123681832073269,0.002738593769819256,0.748236760705637,0.7589979520447163,0.6385786052009457,0.8723404255319149
0,Exact no shift,Pooled associative latent class model,biomarker_missing_fraction,500,0.054818666666666675,0.004391344698491155,0.0001963869051691908,0.054432819542075656,0.055204513791257695,0.04666666666666667,0.063
0,Exact no shift,Pooled associative latent class model,all_biomarkers_missing_rate,500,0.00020400000000000003,0.00044584926054245345,1.9938985085818812e-05,0.0001648252899754271,0.00024317471002457296,0.0,0.001
0,Exact no shift,Target-calibrated associative latent model,accuracy,500,0.81242,0.013147063952881701,0.0005879545740636114,0.8112648283677716,0.8135751716322285,0.786475,0.835525
0,Exact no shift,Target-calibrated associative latent model,adjusted_rand_index,500,0.3905050269211593,0.03271222025300375,0.001462934963613235,0.3876307556010449,0.3933792982412737,0.3275311842866393,0.44975746883165046
0,Exact no shift,Target-calibrated associative latent model,false_atrial_renal_competing,500,0.18664130219027414,0.07765973851854631,0.003473049088846567,0.17981770056907437,0.1934649038114739,0.060574052812858784,0.3630567419158023
0,Exact no shift,Target-calibrated associative latent model,brier_score,500,0.1309460286296262,0.007471304046835329,0.0003341268745858613,0.1302895597388085,0.1316024975204439,0.11772600042271404,0.14531044506118432
0,Exact no shift,Target-calibrated associative latent model,expected_calibration_error,500,0.0407229564864631,0.015872168740010763,0.000709824965060225,0.03932834251515248,0.042117570457773715,0.019095407175539366,0.07835081163115244
0,Exact no shift,Target-calibrated associative latent model,mean_posterior_entropy,500,0.3909476509834883,0.014748942386868887,0.0006595927554653366,0.389651729710743,0.39224357225623363,0.36431687187550826,0.41931351407963446
0,Exact no shift,Target-calibrated associative latent model,predicted_atrial_prevalence,500,0.50059,0.0428675770054319,0.001917096324297052,0.4968234245062991,0.5043565754937008,0.416,0.582
0,Exact no shift,Target-calibrated associative latent model,accuracy_complete_case,500,0.8207672724903319,0.013870932495858817,0.0006203269594410227,0.8195484978810961,0.8219860470995677,0.7923368079289131,0.8474627510256963
0,Exact no shift,Target-calibrated associative latent model,accuracy_any_missing,500,0.7672168142695218,0.03464878893952755,0.001549540948136529,0.7641723856261791,0.7702612429128646,0.7006169190281857,0.8323795180722892
0,Exact no shift,Target-calibrated associative latent model,accuracy_electrical_missing,500,0.768992727439266,0.05913712695451521,0.002644692717286622,0.763796621927482,0.7741888329510501,0.6551724137931034,0.8790731707317073
0,Exact no shift,Target-calibrated associative latent model,biomarker_missing_fraction,500,0.054818666666666675,0.004391344698491155,0.0001963869051691908,0.054432819542075656,0.055204513791257695,0.04666666666666667,0.063
0,Exact no shift,Target-calibrated associative latent model,all_biomarkers_missing_rate,500,0.00020400000000000003,0.00044584926054245345,1.9938985085818812e-05,0.0001648252899754271,0.00024317471002457296,0.0,0.001
0,Exact no shift,Frozen causal latent SCM,accuracy,500,0.81598,0.012461226437580554,0.0005572829879489531,0.8148850897344793,0.8170749102655208,0.792,0.839
0,Exact no shift,Frozen causal latent SCM,adjusted_rand_index,500,0.39939227710709246,0.0314308706333617,0.0014056312665639726,0.396630592044783,0.4021539621694019,0.34038164485494193,0.4591400076626469
0,Exact no shift,Frozen causal latent SCM,false_atrial_renal_competing,500,0.18395004387056269,0.04439459598454289,0.001985386689101542,0.1800492962900092,0.18785079145111616,0.10609788907284769,0.27768716577540103
0,Exact no shift,Frozen causal latent SCM,brier_score,500,0.12833462875054852,0.006708785963620803,0.0003000260292230509,0.12774515879287265,0.12892409870822438,0.11600209399969634,0.14159262971795947
0,Exact no shift,Frozen causal latent SCM,expected_calibration_error,500,0.03550643977242243,0.012106220527011421,0.0005414066409800174,0.034442722232413084,0.03657015731243178,0.01919108803722407,0.0659016192955918
0,Exact no shift,Frozen causal latent SCM,mean_posterior_entropy,500,0.39292972981014673,0.01470592493761166,0.0006576689566501805,0.39163758828147593,0.39422187133881753,0.3648366704405057,0.42246435447036135
0,Exact no shift,Frozen causal latent SCM,predicted_atrial_prevalence,500,0.502654,0.033889161017483724,0.0015155693547105908,0.49967631634471993,0.5056316836552801,0.43595,0.5675749999999998
0,Exact no shift,Frozen causal latent SCM,accuracy_complete_case,500,0.8246600665012817,0.013003280473980432,0.0005815243814063186,0.8235175284575568,0.8258026045450065,0.7990396823797336,0.8485103370515734
0,Exact no shift,Frozen causal latent SCM,accuracy_any_missing,500,0.7689910140992513,0.03546492694940825,0.0015860397495188216,0.7658748751880969,0.7721071530104057,0.6965676229508196,0.8333333333333334
