repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
27,0,Exact no shift,Pooled associative latent class model,0.827,0.4271429007387323,0.2413793103448276,0.12721331756688553,0.029672763137290573,0.4206287025692163,0.512,145,0.8321342925659473,0.8012048192771084,0.8604651162790697,0.056666666666666664,0.0
27,0,Exact no shift,Target-calibrated associative latent model,0.829,0.4323984492601388,0.1724137931034483,0.12116831027119333,0.033108392273655946,0.4034015760493213,0.534,145,0.8333333333333334,0.8072289156626506,0.8604651162790697,0.056666666666666664,0.0
27,0,Exact no shift,Frozen causal latent SCM,0.831,0.43768371543002305,0.1724137931034483,0.1208287462197437,0.03449276861617014,0.40320560022325946,0.534,145,0.8333333333333334,0.8192771084337349,0.8837209302325582,0.056666666666666664,0.0
27,0,Exact no shift,Modular causal latent SCM,0.831,0.4376826379492904,0.16551724137931034,0.120460400128223,0.02992027677531554,0.40294425904277403,0.526,145,0.8333333333333334,0.8192771084337349,0.8837209302325582,0.056666666666666664,0.0
27,0,Exact no shift,Target oracle (reference),0.838,0.45643194420205474,0.15172413793103448,0.11922722739150385,0.029856540151065786,0.4036663543395429,0.505,145,0.8405275779376499,0.8253012048192772,0.8837209302325582,0.056666666666666664,0.0
28,0,Exact no shift,Pooled associative latent class model,0.802,0.36418017565426886,0.3333333333333333,0.1383596369267471,0.016632411973261298,0.41747102527660657,0.518,150,0.8125,0.743421052631579,0.8235294117647058,0.055,0.001
28,0,Exact no shift,Target-calibrated associative latent model,0.807,0.376372384429994,0.14,0.13030715950834038,0.018870514946565706,0.3872001988215101,0.507,150,0.8125,0.7763157894736842,0.8431372549019608,0.055,0.001
28,0,Exact no shift,Frozen causal latent SCM,0.811,0.3862702750521917,0.20666666666666667,0.1266744554018164,0.03511673928691081,0.3935928955712423,0.513,150,0.8207547169811321,0.756578947368421,0.8431372549019608,0.055,0.001
28,0,Exact no shift,Modular causal latent SCM,0.814,0.3937777914232307,0.13333333333333333,0.12635106463634482,0.030423429731275695,0.39319526759735784,0.496,150,0.8254716981132075,0.75,0.8235294117647058,0.055,0.001
28,0,Exact no shift,Target oracle (reference),0.811,0.3862702589943813,0.21333333333333335,0.12643480449200387,0.0231196035962328,0.3849174212342404,0.521,150,0.8183962264150944,0.7697368421052632,0.8235294117647058,0.055,0.001
29,0,Exact no shift,Pooled associative latent class model,0.818,0.4038977258943873,0.32608695652173914,0.1281651296423243,0.023378212598393837,0.4035643924085024,0.528,138,0.8151658767772512,0.8333333333333334,0.8723404255319149,0.05566666666666667,0.001
