renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0.0,Associative latent class model,accuracy,0.820842,0.8196299112203072,0.8220540887796928,0.0006169240330259,500
0.0,Associative latent class model,adjusted_rand_index,0.411929111997122,0.4088220825092172,0.4150361414850269,0.0015814032722048,500
0.0,Associative latent class model,false_atrial_renal_competing,0.1778614159385344,0.1728094760256781,0.1829133558513908,0.0025713158952219,500
0.0,Associative latent class model,brier_score,0.1259538382162189,0.125273099638337,0.1266345767941008,0.0003464795615133,500
0.0,Associative latent class model,expected_calibration_error,0.043188255194732,0.0415256773918543,0.0448508329976098,0.0008462121096696,500
0.0,Associative latent class model,mean_posterior_entropy,0.3727987176566876,0.3711797765978043,0.374417658715571,0.0008240020566239,500
0.0,Associative latent class model,predicted_atrial_prevalence,0.498314,0.4944735049755133,0.5021544950244867,0.0019547195873911,500
0.0,Renal-adjusted associative latent class model,accuracy,0.816722,0.8153425369821645,0.8181014630178354,0.0007021134941855,500
0.0,Renal-adjusted associative latent class model,adjusted_rand_index,0.4016356034777701,0.3981866806154646,0.4050845263400756,0.0017554187757997,500
0.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1876018285349494,0.1789473790008696,0.1962562780690291,0.0044049066369029,500
0.0,Renal-adjusted associative latent class model,brier_score,0.1288400979073886,0.1279858262394186,0.1296943695753586,0.0004348037301669,500
0.0,Renal-adjusted associative latent class model,expected_calibration_error,0.0452145971925974,0.0435443656645831,0.0468848287206116,0.0008501076716598,500
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3687933718278059,0.3671903076675242,0.3703964359880876,0.0008159210971419,500
0.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.498194,0.494369704707772,0.502018295292228,0.0019464743133432,500
0.0,Biologically constrained latent SCM,accuracy,0.8202919999999999,0.8191030905914689,0.8214809094085309,0.000605126290666,500
0.0,Biologically constrained latent SCM,adjusted_rand_index,0.4104881208462873,0.4074491261130545,0.41352711557952,0.0015467752185989,500
0.0,Biologically constrained latent SCM,false_atrial_renal_competing,0.1782602194449772,0.1727365425998223,0.183783896290132,0.0028114186465028,500
0.0,Biologically constrained latent SCM,brier_score,0.1264085940707216,0.1257269999118327,0.1270901882296105,0.0003469150316656,500
0.0,Biologically constrained latent SCM,expected_calibration_error,0.0436873414042838,0.0420027287058656,0.045371954102702,0.0008574273414678,500
0.0,Biologically constrained latent SCM,mean_posterior_entropy,0.3718908037351072,0.370276620628359,0.3735049868418553,0.0008215803734359,500
0.0,Biologically constrained latent SCM,predicted_atrial_prevalence,0.4978720000000001,0.4939650765778986,0.5017789234221015,0.0019885300438944,500
0.0,Data-generating oracle (reference),accuracy,0.8274559999999999,0.8263821327410095,0.8285298672589902,0.0005465726037979,500
0.0,Data-generating oracle (reference),adjusted_rand_index,0.4289345283251524,0.4261188745970162,0.4317501820532886,0.0014331000192961,500
0.0,Data-generating oracle (reference),false_atrial_renal_competing,0.1736652550437696,0.170929742918127,0.1764007671694122,0.0013923098713698,500
