shift_index,shift,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0,No shift,Pooled associative latent class model,accuracy,0.802342,0.8011863816662006,0.8034976183337994,0.0005881819344182128,500
0,No shift,Pooled associative latent class model,adjusted_rand_index,0.3656984633452805,0.3629141314251311,0.3684827952654299,0.0014171579724522306,500
0,No shift,Pooled associative latent class model,false_atrial_renal_competing,0.3094053599073783,0.30418592682448786,0.3146247929902687,0.0026565658898534744,500
0,No shift,Pooled associative latent class model,brier_score,0.1372560655414951,0.13665036318706467,0.13786176789592555,0.00030828792871366654,500
0,No shift,Pooled associative latent class model,expected_calibration_error,0.03766764734195133,0.03644329067419026,0.03889200400971239,0.0006231680929583794,500
0,No shift,Pooled associative latent class model,mean_posterior_entropy,0.41772663968930235,0.41635763920043084,0.41909564017817386,0.0006967883186107958,500
0,No shift,Pooled associative latent class model,predicted_atrial_prevalence,0.49851999999999996,0.4951824118094579,0.501857588190542,0.0016987521059397897,500
0,No shift,Pooled associative latent class model,accuracy_complete_case,0.8105934270281091,0.8093708550588182,0.8118159989974,0.0006222597243665526,500
0,No shift,Pooled associative latent class model,accuracy_any_missing,0.7576726085362097,0.754589969410504,0.7607552476619153,0.0015689891645362995,500
0,No shift,Pooled associative latent class model,accuracy_electrical_missing,0.7546721632664328,0.7493217865149874,0.7600225400178783,0.0027232130674015504,500
0,No shift,Pooled associative latent class model,biomarker_missing_fraction,0.054818666666666675,0.054432819542075656,0.055204513791257695,0.0001963869051691908,500
0,No shift,Pooled associative latent class model,all_biomarkers_missing_rate,0.00020400000000000003,0.0001648252899754271,0.00024317471002457296,1.9938985085818812e-05,500
0,No shift,Target-calibrated associative latent model,accuracy,0.81222,0.8110738505216166,0.8133661494783835,0.0005833625147772976,500
0,No shift,Target-calibrated associative latent model,adjusted_rand_index,0.3899938775887041,0.3871455661907959,0.3928421889866123,0.0014497219876556814,500
0,No shift,Target-calibrated associative latent model,false_atrial_renal_competing,0.18648433569672704,0.179617893231065,0.19335077816238908,0.0034948540481751973,500
0,No shift,Target-calibrated associative latent model,brier_score,0.13093235524770505,0.13027700291110217,0.13158770758430793,0.0003335585753483479,500
0,No shift,Target-calibrated associative latent model,expected_calibration_error,0.0406287881057243,0.03923256186661797,0.042025014344830636,0.0007106455705864182,500
0,No shift,Target-calibrated associative latent model,mean_posterior_entropy,0.3909814622151349,0.3896778295809244,0.39228509484934543,0.0006635176529604212,500
0,No shift,Target-calibrated associative latent model,predicted_atrial_prevalence,0.500474,0.4966906377710957,0.5042573622289043,0.0019256403687239524,500
0,No shift,Target-calibrated associative latent model,accuracy_complete_case,0.8205669183182143,0.8193408489619352,0.8217929876744934,0.0006240398102166847,500
0,No shift,Target-calibrated associative latent model,accuracy_any_missing,0.7670112004542136,0.7639854674468328,0.7700369334615943,0.0015400253191406278,500
0,No shift,Target-calibrated associative latent model,accuracy_electrical_missing,0.7690391482318303,0.7638675541812934,0.7742107422823672,0.002632216973115662,500
0,No shift,Target-calibrated associative latent model,biomarker_missing_fraction,0.054818666666666675,0.054432819542075656,0.055204513791257695,0.0001963869051691908,500
