repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
20,0.0,Renal-adjusted associative latent class model,True,17,1,-3657.632152710441,0.4812502399123639,2.0315502590567056
20,0.0,Biologically constrained latent SCM,True,17,1,-3658.336990278431,0.4807970930506318,2.027506323077859
21,0.0,Associative latent class model,True,38,2,-4107.712851964905,0.43577319988771807,2.2303500024780973
21,0.0,Renal-adjusted associative latent class model,True,26,0,-3600.4907211865725,0.4490048170565092,2.2443415415246535
21,0.0,Biologically constrained latent SCM,True,38,2,-3601.915817386279,0.43613099925727056,2.23802064636492
22,0.0,Associative latent class model,True,17,0,-4176.249307224988,0.4911065799059482,1.9646763752206995
22,0.0,Renal-adjusted associative latent class model,True,20,1,-3677.269993572893,0.49509190516094487,1.955024147478464
22,0.0,Biologically constrained latent SCM,True,17,0,-3678.594066694768,0.4910766282434564,1.9648398179319542
23,0.0,Associative latent class model,True,39,2,-4139.559317748043,0.4277959956542477,1.9784158034711894
23,0.0,Renal-adjusted associative latent class model,True,40,3,-3644.0885757974947,0.43993647166034605,1.9824725317183711
23,0.0,Biologically constrained latent SCM,True,38,2,-3645.0431736062123,0.42887834728935403,1.972635460278764
24,0.0,Associative latent class model,True,20,0,-4171.370016922692,0.46901220852309417,2.0791170489735293
24,0.0,Renal-adjusted associative latent class model,True,21,0,-3705.6014026135995,0.4606060243457483,2.106633888346602
24,0.0,Biologically constrained latent SCM,True,21,0,-3705.6053061562734,0.45973059994236787,2.108956891127351
25,0.0,Associative latent class model,True,22,3,-4132.996621783122,0.4559455111682962,2.2058537271729497
25,0.0,Renal-adjusted associative latent class model,True,20,3,-3627.5747712787074,0.45691508513638995,2.2021932215157163
25,0.0,Biologically constrained latent SCM,True,34,2,-3627.734722332627,0.4484914147671135,2.205804552933592
26,0.0,Associative latent class model,True,9,1,-4166.094494863936,0.48592033770001775,1.9191752172457583
26,0.0,Renal-adjusted associative latent class model,True,35,3,-3699.6919702801633,0.4833824169733173,1.9575245543642539
26,0.0,Biologically constrained latent SCM,True,10,1,-3702.1064079458797,0.4864468217665017,1.9308998872563197
27,0.0,Associative latent class model,True,15,0,-4098.7974543016535,0.4896932069542605,1.9013974660073096
27,0.0,Renal-adjusted associative latent class model,True,23,3,-3610.530058900077,0.4947639797375302,1.9186232423785587
27,0.0,Biologically constrained latent SCM,True,16,0,-3611.3282830844946,0.4896726504189738,1.9021445179557035
28,0.0,Associative latent class model,True,22,0,-4248.93017506461,0.4957101962925487,1.8478747300934883
28,0.0,Renal-adjusted associative latent class model,True,27,1,-3745.507296584546,0.49119643017841996,1.8209140297743411
28,0.0,Biologically constrained latent SCM,True,22,0,-3745.827819374643,0.49692652249539987,1.8519958235440976
29,0.0,Associative latent class model,True,14,0,-4187.004854050743,0.49959970885114013,2.070515189096032
29,0.0,Renal-adjusted associative latent class model,True,17,1,-3699.9832291074945,0.49740633406722096,2.0307584337327667
29,0.0,Biologically constrained latent SCM,True,17,1,-3700.632022357774,0.4953909778896357,2.051124339427609
30,0.0,Associative latent class model,True,42,3,-4160.6628199322095,0.42658133417488414,1.9012721558948336
